,Atlantic,California,Central,North Central,Northeast,Northwest,Southeast,Southwest,Texas
1/1/2030 0:00,0.816277125,0.707408933,0.7430956,0.800688655,0.844880132,0.939935071,0.781486503,0.789320428,0.764746512
1/1/2030 1:00,0.789760209,0.667603549,0.743621384,0.79994513,0.797211415,0.916473858,0.800308142,0.764488196,0.703130894
1/1/2030 2:00,0.770012118,0.64394659,0.728826176,0.767115788,0.76173904,0.909815396,0.79452656,0.747678528,0.700417575
1/1/2030 3:00,0.758568672,0.627597641,0.709829924,0.767985177,0.730010038,0.889719882,0.79839728,0.740705931,0.677687509
1/1/2030 4:00,0.757138116,0.621381376,0.711088145,0.736260635,0.708767691,0.88891117,0.780373583,0.740277789,0.71570809
1/1/2030 5:00,0.770156477,0.629493961,0.725030588,0.765887455,0.702521984,0.911186129,0.786617132,0.750206604,0.695464564
1/1/2030 6:00,0.790783753,0.647043582,0.759695739,0.770448834,0.714275716,0.940938988,0.793091664,0.771537247,0.731432094
1/1/2030 7:00,0.796537055,0.838928358,0.777017852,0.829935555,0.727533741,0.984530037,0.833464745,0.779682138,0.803888946
1/1/2030 8:00,0.88352028,1.091148777,0.886872794,0.888650781,0.957117715,1.073342428,0.848044691,0.837975701,0.819857791
1/1/2030 9:00,0.927354244,1.087925528,0.902845132,0.905649318,0.966140577,1.085280039,0.867727268,1.067597394,0.828270685
1/1/2030 10:00,0.929297074,1.058943525,0.912576068,0.955598398,0.94294265,1.083542489,0.847722714,1.044039393,0.8361076
1/1/2030 11:00,0.929844434,1.020940388,0.882967341,0.94089337,0.952419694,1.08922063,0.838868354,0.880305686,0.841708838
1/1/2030 12:00,0.926162281,1.07117553,0.893153433,0.978927392,0.996055749,1.064961432,0.841010199,0.915443906,0.792373396
1/1/2030 13:00,0.965365734,1.155764755,0.911105964,0.975668932,1.100265617,1.092586328,0.829118059,0.993482967,0.792405506
1/1/2030 14:00,0.973277401,1.054690422,0.874031621,0.98214856,1.045347367,1.047485113,0.836376534,1.060084522,0.822506889
1/1/2030 15:00,0.934610281,0.755438304,0.853643741,0.964989198,0.971735389,1.006704176,0.822545534,0.892074492,0.775463318
1/1/2030 16:00,0.934630331,0.792924038,0.890019653,0.957733412,0.895328898,1.067662142,0.825695307,0.775268198,0.74833013
1/1/2030 17:00,0.994381863,0.896827998,0.935969552,1.014828731,0.950686864,1.132822404,0.867223304,0.839484391,0.785329203
1/1/2030 18:00,1.027225507,0.930263629,0.973496435,1.037516755,1.039590555,1.142222334,0.937470226,0.907166495,0.869163129
1/1/2030 19:00,1.02238748,0.915615426,0.974961307,1.037922314,1.038754515,1.124872578,0.943538787,0.908308207,0.882328345
1/1/2030 20:00,1.005002264,0.885776861,0.957003545,1.001349705,1.00600433,1.091610297,0.967246073,0.891732998,0.876265522
