,OCC,FOM,VOM,Fuel,Heat Rate,L,IR,RROE,DF,ITC,PTC,CFF
Solar,979,16,0,0,0,30,0.07,0.085,0.407,0,18.04,1.036
Wind,1405,26,0,0,0,30,0.07,0.09,0.298,0,18.89,1.06
Offshore Wind,3463,76,0,0,0,30,0.07,0.105,0.734,0.3,0,1.109
Conventional Hydro,7304,43,0,0,0,100,0.07,0.098,0.508,0.3,0,1.064
RoR Hydro,8137,150,0,0,0,100,0.07,0.098,0.508,0.3,0,1.064
Nuclear,5700,175,2.8,0.97,10.5,60,0.08,0.105,0.694,0.3,0,1.302
NGCT,1114,25,6.94,3.52,9.72,55,0.07,0.105,0.55,0,0,1.114
NGCC,1245,31,1.99,3.52,6.09,55,0.07,0.105,0.55,0,0,1.114
NGCCS,2129,56,3.71,3.52,6.78,55,0.07,0.105,0.55,0,0,1.114
PHS,3995,20.2,0.58,0,0,100,0.07,0.098,0.508,0.3,0,1.064
LIBShort,875,19,0,0,0,15,0.07,0.093,0.456,0.3,0,1.037
LIB,1340,31,0,0,0,15,0.07,0.093,0.456,0.3,0,1.037
LIBLong,2269,54,0,0,0,15,0.07,0.093,0.456,0.3,0,1.037
Geothermal,4295,114,0,0,0,30,0.07,0.105,0.513,0.3,0,1.464
Coal-Biomass CCS,7915,227,23.48,4.56,11.29,75,0.08,0.105,0.55,0,0,1.235
