,0
0,0.85
1,0.85
2,0.85
3,0.85
4,0.85
5,0.85
6,0.85
7,0.85
8,0.85
9,0.85
10,0.85
11,0.85
12,0.85
13,0.85
14,0.85
15,0.85
16,0.85
17,0.85
18,0.85
19,0.85
20,0.85
21,0.85
22,0.85
23,0.85
24,0.85
25,0.85
26,0.85
27,0.85
28,0.85
29,0.85
30,0.85
31,0.85
32,0.85
33,0.85
34,0.85
35,0.85
36,0.85
37,0.85
38,0.85
39,0.85
40,0.85
41,0.85
42,0.85
43,0.85
44,0.85
45,0.85
46,0.85
47,0.85
48,0.832426160109096
49,0.832426160109096
50,0.832426160109096
51,0.832426160109096
52,0.832426160109096
53,0.832426160109096
54,0.832426160109096
55,0.832426160109096
56,0.832426160109096
57,0.832426160109096
58,0.832426160109096
59,0.832426160109096
60,0.832426160109096
61,0.832426160109096
62,0.832426160109096
63,0.832426160109096
64,0.832426160109096
65,0.832426160109096
66,0.832426160109096
67,0.832426160109096
68,0.832426160109096
69,0.832426160109096
70,0.832426160109096
71,0.832426160109096
72,0.85
73,0.85
74,0.85
75,0.85
76,0.85
77,0.85
78,0.85
79,0.85
80,0.85
81,0.85
82,0.85
83,0.85
84,0.85
85,0.85
86,0.85
87,0.85
88,0.85
89,0.85
90,0.85
91,0.85
92,0.85
93,0.85
94,0.85
95,0.85
96,0.85
97,0.85
98,0.85
99,0.85
100,0.85
101,0.85
102,0.85
103,0.85
104,0.85
105,0.85
106,0.85
107,0.85
108,0.85
109,0.85
110,0.85
111,0.85
112,0.85
113,0.85
114,0.85
115,0.85
116,0.85
117,0.85
118,0.85
119,0.85
120,0.85
121,0.85
122,0.85
123,0.85
124,0.85
125,0.85
126,0.85
127,0.85
128,0.85
129,0.85
130,0.85
131,0.85
132,0.85
133,0.85
134,0.85
135,0.85
136,0.85
137,0.85
138,0.85
139,0.85
140,0.85
141,0.85
142,0.85
143,0.85
144,0.85
145,0.85
146,0.85
147,0.85
148,0.85
149,0.85
150,0.85
151,0.85
152,0.85
153,0.85
154,0.85
155,0.85
156,0.85
157,0.85
158,0.85
159,0.85
160,0.85
161,0.85
162,0.85
163,0.85
164,0.85
165,0.85
166,0.85
167,0.85
168,0.8352898536112446
169,0.8352898536112446
170,0.8352898536112446
171,0.8352898536112446
172,0.8352898536112446
173,0.8352898536112446
174,0.8352898536112446
175,0.8352898536112446
176,0.8352898536112446
177,0.8352898536112446
178,0.8352898536112446
179,0.8352898536112446
180,0.8352898536112446
181,0.8352898536112446
182,0.8352898536112446
183,0.8352898536112446
184,0.8352898536112446
185,0.8352898536112446
186,0.8352898536112446
187,0.8352898536112446
188,0.8352898536112446
189,0.8352898536112446
190,0.8352898536112446
191,0.8352898536112446
192,0.7560610719748773
193,0.7560610719748773
194,0.7560610719748773
195,0.7560610719748773
196,0.7560610719748773
197,0.7560610719748773
198,0.7560610719748773
199,0.7560610719748773
200,0.7560610719748773
201,0.7560610719748773
202,0.7560610719748773
203,0.7560610719748773
204,0.7560610719748773
205,0.7560610719748773
206,0.7560610719748773
207,0.7560610719748773
208,0.7560610719748773
209,0.7560610719748773
210,0.7560610719748773
211,0.7560610719748773
212,0.7560610719748773
213,0.7560610719748773
214,0.7560610719748773
215,0.7560610719748773
216,0.6966907230113832
217,0.6966907230113832
218,0.6966907230113832
219,0.6966907230113832
220,0.6966907230113832
221,0.6966907230113832
222,0.6966907230113832
223,0.6966907230113832
224,0.6966907230113832
225,0.6966907230113832
226,0.6966907230113832
227,0.6966907230113832
228,0.6966907230113832
229,0.6966907230113832
230,0.6966907230113832
231,0.6966907230113832
232,0.6966907230113832
233,0.6966907230113832
234,0.6966907230113832
235,0.6966907230113832
236,0.6966907230113832
237,0.6966907230113832
238,0.6966907230113832
239,0.6966907230113832
240,0.7728847511316896
241,0.7728847511316896
242,0.7728847511316896
243,0.7728847511316896
244,0.7728847511316896
245,0.7728847511316896
246,0.7728847511316896
247,0.7728847511316896
248,0.7728847511316896
249,0.7728847511316896
250,0.7728847511316896
251,0.7728847511316896
252,0.7728847511316896
253,0.7728847511316896
254,0.7728847511316896
255,0.7728847511316896
256,0.7728847511316896
257,0.7728847511316896
258,0.7728847511316896
259,0.7728847511316896
260,0.7728847511316896
