region,e_cap
Atlantic,100
Atlantic,95
Atlantic,90
Atlantic,85
Atlantic,80
Atlantic,75
Atlantic,70
Atlantic,65
Atlantic,60
Atlantic,55
Atlantic,50
Atlantic,45
Atlantic,40
Atlantic,35
Atlantic,30
Atlantic,25
Atlantic,20
Atlantic,15
Atlantic,10
California,100
California,95
California,90
California,85
California,80
California,75
California,70
California,65
California,60
California,55
California,50
California,45
California,40
California,35
California,30
California,25
California,20
California,15
California,10
Central,100
Central,95
Central,90
Central,85
Central,80
Central,75
Central,70
Central,65
Central,60
Central,55
Central,50
Central,45
Central,40
Central,35
Central,30
Central,25
Central,20
Central,15
Central,10
North Central,100
North Central,95
North Central,90
North Central,85
North Central,80
North Central,75
North Central,70
North Central,65
North Central,60
North Central,55
North Central,50
North Central,45
North Central,40
North Central,35
North Central,30
North Central,25
North Central,20
North Central,15
North Central,10
Northeast,100
Northeast,95
Northeast,90
Northeast,85
Northeast,80
Northeast,75
Northeast,70
Northeast,65
Northeast,60
Northeast,55
Northeast,50
Northeast,45
Northeast,40
Northeast,35
Northeast,30
Northeast,25
Northeast,20
Northeast,15
Northeast,10
Northwest,100
Northwest,95
Northwest,90
Northwest,85
Northwest,80
Northwest,75
Northwest,70
Northwest,65
Northwest,60
Northwest,55
Northwest,50
Northwest,45
Northwest,40
Northwest,35
Northwest,30
Northwest,25
Northwest,20
Northwest,15
Northwest,10
Southeast,100
Southeast,95
Southeast,90
Southeast,85
Southeast,80
Southeast,75
Southeast,70
Southeast,65
Southeast,60
Southeast,55
Southeast,50
Southeast,45
Southeast,40
Southeast,35
Southeast,30
Southeast,25
Southeast,20
Southeast,15
Southeast,10
Southwest,100
Southwest,95
Southwest,90
Southwest,85
Southwest,80
Southwest,75
Southwest,70
Southwest,65
Southwest,60
Southwest,55
Southwest,50
Southwest,45
Southwest,40
Southwest,35
Southwest,30
Southwest,25
Southwest,20
Southwest,15
Southwest,10
Texas,100
Texas,95
Texas,90
Texas,85
Texas,80
Texas,75
Texas,70
Texas,65
Texas,60
Texas,55
Texas,50
Texas,45
Texas,40
Texas,35
Texas,30
Texas,25
Texas,20
Texas,15
Texas,10
