,0
0,0.8097072654810671
1,0.8097072654810671
2,0.8097072654810671
3,0.8097072654810671
4,0.8097072654810671
5,0.8097072654810671
6,0.8097072654810671
7,0.8097072654810671
8,0.8097072654810671
9,0.8097072654810671
10,0.8097072654810671
11,0.8097072654810671
12,0.8097072654810671
13,0.8097072654810671
14,0.8097072654810671
15,0.8097072654810671
16,0.8097072654810671
17,0.8097072654810671
18,0.8097072654810671
19,0.8097072654810671
20,0.8097072654810671
21,0.8097072654810671
22,0.8097072654810671
23,0.8097072654810671
24,0.85
25,0.85
26,0.85
27,0.85
28,0.85
29,0.85
30,0.85
31,0.85
32,0.85
33,0.85
34,0.85
35,0.85
36,0.85
37,0.85
38,0.85
39,0.85
40,0.85
41,0.85
42,0.85
43,0.85
44,0.85
45,0.85
46,0.85
47,0.85
48,0.85
49,0.85
50,0.85
51,0.85
52,0.85
53,0.85
54,0.85
55,0.85
56,0.85
57,0.85
58,0.85
59,0.85
60,0.85
61,0.85
62,0.85
63,0.85
64,0.85
65,0.85
66,0.85
67,0.85
68,0.85
69,0.85
70,0.85
71,0.85
72,0.85
73,0.85
74,0.85
75,0.85
76,0.85
77,0.85
78,0.85
79,0.85
80,0.85
81,0.85
82,0.85
83,0.85
84,0.85
85,0.85
86,0.85
87,0.85
88,0.85
89,0.85
90,0.85
91,0.85
92,0.85
93,0.85
94,0.85
95,0.85
96,0.85
97,0.85
98,0.85
99,0.85
100,0.85
101,0.85
102,0.85
103,0.85
104,0.85
105,0.85
106,0.85
107,0.85
108,0.85
109,0.85
110,0.85
111,0.85
112,0.85
113,0.85
114,0.85
115,0.85
116,0.85
117,0.85
118,0.85
119,0.85
120,0.85
121,0.85
122,0.85
123,0.85
124,0.85
125,0.85
126,0.85
127,0.85
128,0.85
129,0.85
130,0.85
131,0.85
132,0.85
133,0.85
134,0.85
135,0.85
136,0.85
137,0.85
138,0.85
139,0.85
140,0.85
141,0.85
142,0.85
143,0.85
144,0.85
145,0.85
146,0.85
147,0.85
148,0.85
149,0.85
150,0.85
151,0.85
152,0.85
153,0.85
154,0.85
155,0.85
156,0.85
157,0.85
158,0.85
159,0.85
160,0.85
161,0.85
162,0.85
163,0.85
164,0.85
165,0.85
166,0.85
167,0.85
168,0.85
169,0.85
170,0.85
171,0.85
172,0.85
173,0.85
174,0.85
175,0.85
176,0.85
177,0.85
178,0.85
179,0.85
180,0.85
181,0.85
182,0.85
183,0.85
184,0.85
185,0.85
186,0.85
187,0.85
188,0.85
189,0.85
190,0.85
191,0.85
192,0.85
193,0.85
194,0.85
195,0.85
196,0.85
197,0.85
198,0.85
199,0.85
200,0.85
201,0.85
202,0.85
203,0.85
204,0.85
205,0.85
206,0.85
207,0.85
208,0.85
209,0.85
210,0.85
211,0.85
212,0.85
213,0.85
214,0.85
215,0.85
216,0.85
217,0.85
218,0.85
219,0.85
220,0.85
221,0.85
222,0.85
223,0.85
224,0.85
225,0.85
226,0.85
227,0.85
228,0.85
229,0.85
230,0.85
231,0.85
232,0.85
233,0.85
234,0.85
235,0.85
236,0.85
237,0.85
238,0.85
239,0.85
240,0.841136774994674
241,0.841136774994674
242,0.841136774994674
243,0.841136774994674
244,0.841136774994674
245,0.841136774994674
246,0.841136774994674
247,0.841136774994674
248,0.841136774994674
249,0.841136774994674
250,0.841136774994674
251,0.841136774994674
252,0.841136774994674
253,0.841136774994674
254,0.841136774994674
255,0.841136774994674
256,0.841136774994674
257,0.841136774994674
258,0.841136774994674
259,0.841136774994674
260,0.841136774994674
261,0.841136774994674
262,0.841136774994674
263,0.841136774994674
264,0.85
265,0.85
266,0.85
267,0.85
268,0.85
269,0.85
270,0.85
271,0.85
272,0.85
273,0.85
274,0.85
275,0.85
276,0.85
277,0.85
278,0.85
279,0.85
280,0.85
281,0.85
282,0.85
283,0.85
284,0.85
285,0.85
286,0.85
287,0.85
288,0.85
289,0.85
290,0.85
291,0.85
292,0.85
293,0.85
294,0.85
295,0.85
296,0.85
297,0.85
298,0.85
299,0.85
300,0.85
301,0.85
302,0.85
303,0.85
304,0.85
305,0.85
306,0.85
307,0.85
308,0.85
309,0.85
310,0.85
311,0.85
312,0.85
313,0.85
314,0.85
315,0.85
316,0.85
317,0.85
318,0.85
319,0.85
320,0.85
321,0.85
322,0.85
323,0.85
324,0.85
325,0.85
326,0.85
327,0.85
328,0.85
329,0.85
330,0.85
331,0.85
332,0.85
333,0.85
334,0.85
335,0.85
336,0.85
337,0.85
338,0.85
339,0.85
340,0.85
341,0.85
342,0.85
343,0.85
344,0.85
345,0.85
346,0.85
347,0.85
348,0.85
349,0.85
350,0.85
351,0.85
352,0.85
353,0.85
354,0.85
355,0.85
356,0.85
357,0.85
358,0.85
359,0.85
360,0.85
361,0.85
362,0.85
363,0.85
364,0.85
365,0.85
366,0.85
367,0.85
368,0.85
369,0.85
370,0.85
371,0.85
372,0.85
373,0.85
374,0.85
375,0.85
376,0.85
377,0.85
378,0.85
379,0.85
380,0.85
381,0.85
382,0.85
383,0.85
384,0.85
385,0.85
386,0.85
387,0.85
388,0.85
389,0.85
390,0.85
391,0.85
392,0.85
393,0.85
394,0.85
395,0.85
396,0.85
397,0.85
398,0.85
399,0.85
400,0.85
401,0.85
402,0.85
403,0.85
404,0.85
405,0.85
406,0.85
407,0.85
408,0.85
409,0.85
410,0.85
411,0.85
412,0.85
413,0.85
414,0.85
415,0.85
416,0.85
417,0.85
418,0.85
419,0.85
420,0.85
421,0.85
422,0.85
423,0.85
424,0.85
425,0.85
426,0.85
427,0.85
428,0.85
429,0.85
430,0.85
431,0.85
432,0.85
433,0.85
434,0.85
435,0.85
436,0.85
437,0.85
438,0.85
439,0.85
440,0.85
441,0.85
442,0.85
