,average CF
,0
b'20070101000000',0
b'20070101010000',0
b'20070101020000',0
b'20070101030000',0
b'20070101040000',0
b'20070101050000',0
b'20070101060000',0
b'20070101070000',0
b'20070101080000',0
b'20070101090000',0
b'20070101100000',0
b'20070101110000',0
b'20070101120000',0
b'20070101130000',0
b'20070101140000',0
b'20070101150000',0
b'20070101160000',0
b'20070101170000',0
b'20070101180000',0
b'20070101190000',0
b'20070101200000',0
b'20070101210000',0
b'20070101220000',0
b'20070101230000',0
b'20070102000000',0
b'20070102010000',0
b'20070102020000',0
b'20070102030000',0
b'20070102040000',0
b'20070102050000',0
b'20070102060000',0
b'20070102070000',0
b'20070102080000',0
b'20070102090000',0
b'20070102100000',0
b'20070102110000',0
b'20070102120000',0
b'20070102130000',0
b'20070102140000',0
b'20070102150000',0
b'20070102160000',0
b'20070102170000',0
b'20070102180000',0
b'20070102190000',0
b'20070102200000',0
b'20070102210000',0
b'20070102220000',0
b'20070102230000',0
b'20070103000000',0
b'20070103010000',0
b'20070103020000',0
b'20070103030000',0
b'20070103040000',0
b'20070103050000',0
b'20070103060000',0
b'20070103070000',0
b'20070103080000',0
b'20070103090000',0
b'20070103100000',0
b'20070103110000',0
b'20070103120000',0
b'20070103130000',0
b'20070103140000',0
b'20070103150000',0
b'20070103160000',0
b'20070103170000',0
b'20070103180000',0
b'20070103190000',0
b'20070103200000',0
b'20070103210000',0
b'20070103220000',0
b'20070103230000',0
b'20070104000000',0
b'20070104010000',0
b'20070104020000',0
b'20070104030000',0
b'20070104040000',0
b'20070104050000',0
b'20070104060000',0
b'20070104070000',0
b'20070104080000',0
b'20070104090000',0
b'20070104100000',0
b'20070104110000',0
b'20070104120000',0
b'20070104130000',0
b'20070104140000',0
b'20070104150000',0
b'20070104160000',0
b'20070104170000',0
b'20070104180000',0
b'20070104190000',0
b'20070104200000',0
b'20070104210000',0
b'20070104220000',0
b'20070104230000',0
b'20070105000000',0
b'20070105010000',0
b'20070105020000',0
b'20070105030000',0
b'20070105040000',0
b'20070105050000',0
b'20070105060000',0
b'20070105070000',0
b'20070105080000',0
b'20070105090000',0
b'20070105100000',0
b'20070105110000',0
b'20070105120000',0
b'20070105130000',0
b'20070105140000',0
b'20070105150000',0
b'20070105160000',0
b'20070105170000',0
b'20070105180000',0
b'20070105190000',0
b'20070105200000',0
b'20070105210000',0
b'20070105220000',0
b'20070105230000',0
b'20070106000000',0
b'20070106010000',0
b'20070106020000',0
b'20070106030000',0
b'20070106040000',0
b'20070106050000',0
b'20070106060000',0
b'20070106070000',0
b'20070106080000',0
b'20070106090000',0
b'20070106100000',0
b'20070106110000',0
b'20070106120000',0
b'20070106130000',0
b'20070106140000',0
b'20070106150000',0
b'20070106160000',0
b'20070106170000',0
b'20070106180000',0
b'20070106190000',0
b'20070106200000',0
b'20070106210000',0
b'20070106220000',0
b'20070106230000',0
b'20070107000000',0
b'20070107010000',0
b'20070107020000',0
b'20070107030000',0
b'20070107040000',0
b'20070107050000',0
b'20070107060000',0
b'20070107070000',0
b'20070107080000',0
b'20070107090000',0
b'20070107100000',0
b'20070107110000',0
b'20070107120000',0
b'20070107130000',0
b'20070107140000',0
b'20070107150000',0
b'20070107160000',0
b'20070107170000',0
b'20070107180000',0
b'20070107190000',0
b'20070107200000',0
b'20070107210000',0
b'20070107220000',0
b'20070107230000',0
b'20070108000000',0
b'20070108010000',0
b'20070108020000',0
b'20070108030000',0
b'20070108040000',0
b'20070108050000',0
b'20070108060000',0
b'20070108070000',0
b'20070108080000',0
b'20070108090000',0
b'20070108100000',0
b'20070108110000',0
b'20070108120000',0
b'20070108130000',0
b'20070108140000',0
b'20070108150000',0
b'20070108160000',0
b'20070108170000',0
b'20070108180000',0
b'20070108190000',0
b'20070108200000',0
b'20070108210000',0
b'20070108220000',0
b'20070108230000',0
b'20070109000000',0
b'20070109010000',0
b'20070109020000',0
b'20070109030000',0
b'20070109040000',0
b'20070109050000',0
b'20070109060000',0
b'20070109070000',0
b'20070109080000',0
b'20070109090000',0
b'20070109100000',0
b'20070109110000',0
b'20070109120000',0
b'20070109130000',0
b'20070109140000',0
b'20070109150000',0
b'20070109160000',0
b'20070109170000',0
b'20070109180000',0
b'20070109190000',0
b'20070109200000',0
b'20070109210000',0
b'20070109220000',0
b'20070109230000',0
b'20070110000000',0
b'20070110010000',0
b'20070110020000',0
b'20070110030000',0
b'20070110040000',0
b'20070110050000',0
b'20070110060000',0
b'20070110070000',0
b'20070110080000',0
b'20070110090000',0
b'20070110100000',0
b'20070110110000',0
b'20070110120000',0
b'20070110130000',0
b'20070110140000',0
b'20070110150000',0
b'20070110160000',0
b'20070110170000',0
b'20070110180000',0
b'20070110190000',0
b'20070110200000',0
b'20070110210000',0
b'20070110220000',0
b'20070110230000',0
b'20070111000000',0
b'20070111010000',0
b'20070111020000',0
b'20070111030000',0
b'20070111040000',0
b'20070111050000',0
b'20070111060000',0
b'20070111070000',0
b'20070111080000',0
b'20070111090000',0
b'20070111100000',0
b'20070111110000',0
b'20070111120000',0
b'20070111130000',0
b'20070111140000',0
b'20070111150000',0
b'20070111160000',0
b'20070111170000',0
b'20070111180000',0
b'20070111190000',0
b'20070111200000',0
b'20070111210000',0
b'20070111220000',0
b'20070111230000',0
b'20070112000000',0
b'20070112010000',0
b'20070112020000',0
b'20070112030000',0
b'20070112040000',0
b'20070112050000',0
b'20070112060000',0
b'20070112070000',0
b'20070112080000',0
b'20070112090000',0
b'20070112100000',0
b'20070112110000',0
b'20070112120000',0
b'20070112130000',0
b'20070112140000',0
b'20070112150000',0
b'20070112160000',0
b'20070112170000',0
b'20070112180000',0
b'20070112190000',0
b'20070112200000',0
b'20070112210000',0
b'20070112220000',0
b'20070112230000',0
b'20070113000000',0
b'20070113010000',0
b'20070113020000',0
b'20070113030000',0
b'20070113040000',0
b'20070113050000',0
b'20070113060000',0
b'20070113070000',0
b'20070113080000',0
b'20070113090000',0
b'20070113100000',0
b'20070113110000',0
b'20070113120000',0
b'20070113130000',0
b'20070113140000',0
b'20070113150000',0
b'20070113160000',0
b'20070113170000',0
b'20070113180000',0
b'20070113190000',0
b'20070113200000',0
b'20070113210000',0
b'20070113220000',0
b'20070113230000',0
b'20070114000000',0
b'20070114010000',0
b'20070114020000',0
b'20070114030000',0
b'20070114040000',0
b'20070114050000',0
b'20070114060000',0
b'20070114070000',0
b'20070114080000',0
b'20070114090000',0
b'20070114100000',0
b'20070114110000',0
b'20070114120000',0
b'20070114130000',0
b'20070114140000',0
b'20070114150000',0
b'20070114160000',0
b'20070114170000',0
b'20070114180000',0
b'20070114190000',0
b'20070114200000',0
b'20070114210000',0
b'20070114220000',0
b'20070114230000',0
b'20070115000000',0
b'20070115010000',0
b'20070115020000',0
b'20070115030000',0
b'20070115040000',0
b'20070115050000',0
b'20070115060000',0
b'20070115070000',0
b'20070115080000',0
b'20070115090000',0
b'20070115100000',0
b'20070115110000',0
b'20070115120000',0
b'20070115130000',0
b'20070115140000',0
b'20070115150000',0
b'20070115160000',0
b'20070115170000',0
b'20070115180000',0
b'20070115190000',0
b'20070115200000',0
b'20070115210000',0
b'20070115220000',0
b'20070115230000',0
b'20070116000000',0
b'20070116010000',0
b'20070116020000',0
b'20070116030000',0
b'20070116040000',0
b'20070116050000',0
b'20070116060000',0
b'20070116070000',0
b'20070116080000',0
b'20070116090000',0
b'20070116100000',0
b'20070116110000',0
b'20070116120000',0
b'20070116130000',0
b'20070116140000',0
b'20070116150000',0
b'20070116160000',0
b'20070116170000',0
b'20070116180000',0
b'20070116190000',0
b'20070116200000',0
b'20070116210000',0
b'20070116220000',0
b'20070116230000',0
b'20070117000000',0
b'20070117010000',0
b'20070117020000',0
b'20070117030000',0
b'20070117040000',0
b'20070117050000',0
b'20070117060000',0
b'20070117070000',0
b'20070117080000',0
b'20070117090000',0
b'20070117100000',0
b'20070117110000',0
b'20070117120000',0
b'20070117130000',0
b'20070117140000',0
b'20070117150000',0
b'20070117160000',0
b'20070117170000',0
b'20070117180000',0
b'20070117190000',0
b'20070117200000',0
b'20070117210000',0
b'20070117220000',0
b'20070117230000',0
b'20070118000000',0
b'20070118010000',0
b'20070118020000',0
b'20070118030000',0
b'20070118040000',0
b'20070118050000',0
b'20070118060000',0
b'20070118070000',0
b'20070118080000',0
b'20070118090000',0
b'20070118100000',0
b'20070118110000',0
b'20070118120000',0
b'20070118130000',0
b'20070118140000',0
b'20070118150000',0
b'20070118160000',0
b'20070118170000',0
b'20070118180000',0
b'20070118190000',0
b'20070118200000',0
b'20070118210000',0
b'20070118220000',0
b'20070118230000',0
b'20070119000000',0
b'20070119010000',0
b'20070119020000',0
b'20070119030000',0
b'20070119040000',0
b'20070119050000',0
b'20070119060000',0
b'20070119070000',0
b'20070119080000',0
b'20070119090000',0
b'20070119100000',0
b'20070119110000',0
b'20070119120000',0
b'20070119130000',0
b'20070119140000',0
b'20070119150000',0
b'20070119160000',0
b'20070119170000',0
b'20070119180000',0
b'20070119190000',0
b'20070119200000',0
b'20070119210000',0
b'20070119220000',0
b'20070119230000',0
b'20070120000000',0
b'20070120010000',0
b'20070120020000',0
b'20070120030000',0
b'20070120040000',0
b'20070120050000',0
b'20070120060000',0
b'20070120070000',0
b'20070120080000',0
b'20070120090000',0
b'20070120100000',0
b'20070120110000',0
b'20070120120000',0
b'20070120130000',0
b'20070120140000',0
b'20070120150000',0
b'20070120160000',0
b'20070120170000',0
b'20070120180000',0
b'20070120190000',0
b'20070120200000',0
b'20070120210000',0
b'20070120220000',0
b'20070120230000',0
b'20070121000000',0
b'20070121010000',0
b'20070121020000',0
b'20070121030000',0
b'20070121040000',0
b'20070121050000',0
b'20070121060000',0
b'20070121070000',0
b'20070121080000',0
b'20070121090000',0
b'20070121100000',0
b'20070121110000',0
b'20070121120000',0
b'20070121130000',0
b'20070121140000',0
b'20070121150000',0
b'20070121160000',0
b'20070121170000',0
b'20070121180000',0
b'20070121190000',0
b'20070121200000',0
b'20070121210000',0
b'20070121220000',0
b'20070121230000',0
b'20070122000000',0
b'20070122010000',0
b'20070122020000',0
b'20070122030000',0
b'20070122040000',0
b'20070122050000',0
b'20070122060000',0
b'20070122070000',0
b'20070122080000',0
b'20070122090000',0
b'20070122100000',0
b'20070122110000',0
b'20070122120000',0
b'20070122130000',0
b'20070122140000',0
b'20070122150000',0
b'20070122160000',0
b'20070122170000',0
b'20070122180000',0
b'20070122190000',0
b'20070122200000',0
b'20070122210000',0
b'20070122220000',0
b'20070122230000',0
b'20070123000000',0
b'20070123010000',0
b'20070123020000',0
b'20070123030000',0
b'20070123040000',0
b'20070123050000',0
b'20070123060000',0
b'20070123070000',0
b'20070123080000',0
b'20070123090000',0
b'20070123100000',0
b'20070123110000',0
b'20070123120000',0
b'20070123130000',0
b'20070123140000',0
b'20070123150000',0
b'20070123160000',0
b'20070123170000',0
b'20070123180000',0
b'20070123190000',0
b'20070123200000',0
b'20070123210000',0
b'20070123220000',0
b'20070123230000',0
b'20070124000000',0
b'20070124010000',0
b'20070124020000',0
b'20070124030000',0
b'20070124040000',0
b'20070124050000',0
b'20070124060000',0
b'20070124070000',0
b'20070124080000',0
b'20070124090000',0
b'20070124100000',0
b'20070124110000',0
b'20070124120000',0
b'20070124130000',0
b'20070124140000',0
b'20070124150000',0
b'20070124160000',0
b'20070124170000',0
b'20070124180000',0
b'20070124190000',0
b'20070124200000',0
