hour,power,driving,fraction,E_cap
1,177483.3597,1193.305486,0.895995551,396170.181
2,182440.9955,906.1464118,0.921023359,396170.181
3,176712.1719,1237.974675,0.892102336,396170.181
4,173407.0814,1429.414058,0.87541713,396170.181
5,170763.009,1582.565564,0.862068966,396170.181
6,168779.9547,1697.429194,0.852057842,396170.181
7,163712.1493,1990.969581,0.82647386,396170.181
8,149390.0905,2820.540239,0.754171301,396170.181
9,124712.0814,4249.954297,0.629588432,396170.181
10,69406.90045,7453.373302,0.350389321,396170.181
11,34152.60181,9495.393385,0.172413793,396170.181
12,20932.23982,10261.15092,0.10567297,396170.181
13,18288.16742,10414.30242,0.092324805,396170.181
14,6830.520362,11077.95895,0.034482759,396170.181
15,6830.520362,11077.95895,0.034482759,396170.181
16,8152.556561,11001.3832,0.041156841,396170.181
17,11677.98643,10797.18119,0.058954394,396170.181
18,19610.20362,10337.72667,0.098998888,396170.181
19,41423.8009,9074.226743,0.209121246,396170.181
20,83728.95928,6623.802644,0.42269188,396170.181
21,113695.1131,4888.085573,0.573971079,396170.181
22,133084.9774,3764.974528,0.67185762,396170.181
23,154457.8959,2526.999853,0.779755284,396170.181
24,172525.724,1480.46456,0.870967742,396170.181
25,177483.3597,1193.305486,0.895995551,396170.181
26,182440.9955,906.1464118,0.921023359,396170.181
27,176712.1719,1237.974675,0.892102336,396170.181
28,173407.0814,1429.414058,0.87541713,396170.181
29,170763.009,1582.565564,0.862068966,396170.181
30,168779.9547,1697.429194,0.852057842,396170.181
31,163712.1493,1990.969581,0.82647386,396170.181
32,149390.0905,2820.540239,0.754171301,396170.181
33,124712.0814,4249.954297,0.629588432,396170.181
34,69406.90045,7453.373302,0.350389321,396170.181
35,34152.60181,9495.393385,0.172413793,396170.181
36,20932.23982,10261.15092,0.10567297,396170.181
37,18288.16742,10414.30242,0.092324805,396170.181
38,6830.520362,11077.95895,0.034482759,396170.181
39,6830.520362,11077.95895,0.034482759,396170.181
40,8152.556561,11001.3832,0.041156841,396170.181
41,11677.98643,10797.18119,0.058954394,396170.181
42,19610.20362,10337.72667,0.098998888,396170.181
