hour,power,driving,fraction,E_cap
1,129237.9454,868.928498,0.895995551,288478.9892
2,132847.9438,659.8280573,0.921023359,288478.9892
3,128676.39,901.4552333,0.892102336,288478.9892
4,126269.7244,1040.855527,0.87541713,288478.9892
5,124344.3919,1152.375762,0.862068966,288478.9892
6,122900.3925,1236.015938,0.852057842,288478.9892
7,119210.1718,1449.763056,0.82647386,288478.9892
8,108781.2873,2053.830995,0.754171301,288478.9892
9,90811.51717,3094.686522,0.629588432,288478.9892
10,50539.97863,5427.318105,0.350389321,288478.9892
11,24868.87838,6914.254573,0.172413793,288478.9892
12,15242.21578,7471.855748,0.10567297,288478.9892
13,13316.88326,7583.375983,0.092324805,288478.9892
14,4973.775675,8066.630335,0.034482759,288478.9892
15,4973.775675,8066.630335,0.034482759,288478.9892
16,5936.441935,8010.870217,0.041156841,288478.9892
17,8503.551961,7862.17657,0.058954394,288478.9892
18,14279.54952,7527.615865,0.098998888,288478.9892
19,30163.5428,6607.573926,0.209121246,288478.9892
20,60968.86311,4823.250166,0.42269188,288478.9892
21,82789.29833,3559.354168,0.573971079,288478.9892
22,96908.40348,2741.539111,0.67185762,288478.9892
23,112471.508,1840.083878,0.779755284,288478.9892
24,125627.9469,1078.028939,0.870967742,288478.9892
25,129237.9454,868.928498,0.895995551,288478.9892
26,132847.9438,659.8280573,0.921023359,288478.9892
27,128676.39,901.4552333,0.892102336,288478.9892
28,126269.7244,1040.855527,0.87541713,288478.9892
29,124344.3919,1152.375762,0.862068966,288478.9892
30,122900.3925,1236.015938,0.852057842,288478.9892
31,119210.1718,1449.763056,0.82647386,288478.9892
32,108781.2873,2053.830995,0.754171301,288478.9892
33,90811.51717,3094.686522,0.629588432,288478.9892
34,50539.97863,5427.318105,0.350389321,288478.9892
35,24868.87838,6914.254573,0.172413793,288478.9892
36,15242.21578,7471.855748,0.10567297,288478.9892
37,13316.88326,7583.375983,0.092324805,288478.9892
38,4973.775675,8066.630335,0.034482759,288478.9892
39,4973.775675,8066.630335,0.034482759,288478.9892
40,5936.441935,8010.870217,0.041156841,288478.9892
41,8503.551961,7862.17657,0.058954394,288478.9892
42,14279.54952,7527.615865,0.098998888,288478.9892
43,30163.5428,6607.573926,0.209121246,288478.9892
44,60968.86311,4823.250166,0.42269188,288478.9892
45,82789.29833,3559.354168,0.573971079,288478.9892
46,96908.40348,2741.539111,0.67185762,288478.9892
47,112471.508,1840.083878,0.779755284,288478.9892
48,125627.9469,1078.028939,0.870967742,288478.9892
49,129237.9454,868.928498,0.895995551,288478.9892
50,132847.9438,659.8280573,0.921023359,288478.9892
51,128676.39,901.4552333,0.892102336,288478.9892
52,126269.7244,1040.855527,0.87541713,288478.9892
53,124344.3919,1152.375762,0.862068966,288478.9892
54,122900.3925,1236.015938,0.852057842,288478.9892
55,119210.1718,1449.763056,0.82647386,288478.9892
56,108781.2873,2053.830995,0.754171301,288478.9892
57,90811.51717,3094.686522,0.629588432,288478.9892
58,50539.97863,5427.318105,0.350389321,288478.9892
59,24868.87838,6914.254573,0.172413793,288478.9892
60,15242.21578,7471.855748,0.10567297,288478.9892
61,13316.88326,7583.375983,0.092324805,288478.9892
62,4973.775675,8066.630335,0.034482759,288478.9892
63,4973.775675,8066.630335,0.034482759,288478.9892
64,5936.441935,8010.870217,0.041156841,288478.9892
65,8503.551961,7862.17657,0.058954394,288478.9892
66,14279.54952,7527.615865,0.098998888,288478.9892
67,30163.5428,6607.573926,0.209121246,288478.9892
68,60968.86311,4823.250166,0.42269188,288478.9892
69,82789.29833,3559.354168,0.573971079,288478.9892
70,96908.40348,2741.539111,0.67185762,288478.9892
71,112471.508,1840.083878,0.779755284,288478.9892
72,125627.9469,1078.028939,0.870967742,288478.9892
73,129237.9454,868.928498,0.895995551,288478.9892
74,132847.9438,659.8280573,0.921023359,288478.9892
75,128676.39,901.4552333,0.892102336,288478.9892
76,126269.7244,1040.855527,0.87541713,288478.9892
77,124344.3919,1152.375762,0.862068966,288478.9892
78,122900.3925,1236.015938,0.852057842,288478.9892
79,119210.1718,1449.763056,0.82647386,288478.9892
80,108781.2873,2053.830995,0.754171301,288478.9892
81,90811.51717,3094.686522,0.629588432,288478.9892
82,50539.97863,5427.318105,0.350389321,288478.9892
83,24868.87838,6914.254573,0.172413793,288478.9892
84,15242.21578,7471.855748,0.10567297,288478.9892
85,13316.88326,7583.375983,0.092324805,288478.9892
86,4973.775675,8066.630335,0.034482759,288478.9892
87,4973.775675,8066.630335,0.034482759,288478.9892
88,5936.441935,8010.870217,0.041156841,288478.9892
89,8503.551961,7862.17657,0.058954394,288478.9892
90,14279.54952,7527.615865,0.098998888,288478.9892
91,30163.5428,6607.573926,0.209121246,288478.9892
92,60968.86311,4823.250166,0.42269188,288478.9892
93,82789.29833,3559.354168,0.573971079,288478.9892
94,96908.40348,2741.539111,0.67185762,288478.9892
95,112471.508,1840.083878,0.779755284,288478.9892
96,125627.9469,1078.028939,0.870967742,288478.9892
97,129237.9454,868.928498,0.895995551,288478.9892
98,132847.9438,659.8280573,0.921023359,288478.9892
99,128676.39,901.4552333,0.892102336,288478.9892
100,126269.7244,1040.855527,0.87541713,288478.9892
101,124344.3919,1152.375762,0.862068966,288478.9892
102,122900.3925,1236.015938,0.852057842,288478.9892
103,119210.1718,1449.763056,0.82647386,288478.9892
104,108781.2873,2053.830995,0.754171301,288478.9892
105,90811.51717,3094.686522,0.629588432,288478.9892
106,50539.97863,5427.318105,0.350389321,288478.9892
107,24868.87838,6914.254573,0.172413793,288478.9892
108,15242.21578,7471.855748,0.10567297,288478.9892
109,13316.88326,7583.375983,0.092324805,288478.9892
110,4973.775675,8066.630335,0.034482759,288478.9892
111,4973.775675,8066.630335,0.034482759,288478.9892
112,5936.441935,8010.870217,0.041156841,288478.9892
113,8503.551961,7862.17657,0.058954394,288478.9892
114,14279.54952,7527.615865,0.098998888,288478.9892
115,30163.5428,6607.573926,0.209121246,288478.9892
116,60968.86311,4823.250166,0.42269188,288478.9892
117,82789.29833,3559.354168,0.573971079,288478.9892
118,96908.40348,2741.539111,0.67185762,288478.9892
119,112471.508,1840.083878,0.779755284,288478.9892
120,125627.9469,1078.028939,0.870967742,288478.9892
121,129237.9454,868.928498,0.895995551,288478.9892
122,132847.9438,659.8280573,0.921023359,288478.9892
123,128676.39,901.4552333,0.892102336,288478.9892
124,126269.7244,1040.855527,0.87541713,288478.9892
125,124344.3919,1152.375762,0.862068966,288478.9892
126,122900.3925,1236.015938,0.852057842,288478.9892
127,119210.1718,1449.763056,0.82647386,288478.9892
128,108781.2873,2053.830995,0.754171301,288478.9892
129,90811.51717,3094.686522,0.629588432,288478.9892
130,50539.97863,5427.318105,0.350389321,288478.9892
131,24868.87838,6914.254573,0.172413793,288478.9892
132,15242.21578,7471.855748,0.10567297,288478.9892
133,13316.88326,7583.375983,0.092324805,288478.9892
134,4973.775675,8066.630335,0.034482759,288478.9892
135,4973.775675,8066.630335,0.034482759,288478.9892
136,5936.441935,8010.870217,0.041156841,288478.9892
137,8503.551961,7862.17657,0.058954394,288478.9892
138,14279.54952,7527.615865,0.098998888,288478.9892
139,30163.5428,6607.573926,0.209121246,288478.9892
140,60968.86311,4823.250166,0.42269188,288478.9892
141,82789.29833,3559.354168,0.573971079,288478.9892
142,96908.40348,2741.539111,0.67185762,288478.9892
143,112471.508,1840.083878,0.779755284,288478.9892
144,125627.9469,1078.028939,0.870967742,288478.9892
145,129237.9454,868.928498,0.895995551,288478.9892
146,132847.9438,659.8280573,0.921023359,288478.9892
147,128676.39,901.4552333,0.892102336,288478.9892
148,126269.7244,1040.855527,0.87541713,288478.9892
149,124344.3919,1152.375762,0.862068966,288478.9892
150,122900.3925,1236.015938,0.852057842,288478.9892
151,119210.1718,1449.763056,0.82647386,288478.9892
152,108781.2873,2053.830995,0.754171301,288478.9892
153,90811.51717,3094.686522,0.629588432,288478.9892
154,50539.97863,5427.318105,0.350389321,288478.9892
155,24868.87838,6914.254573,0.172413793,288478.9892
156,15242.21578,7471.855748,0.10567297,288478.9892
157,13316.88326,7583.375983,0.092324805,288478.9892
158,4973.775675,8066.630335,0.034482759,288478.9892
159,4973.775675,8066.630335,0.034482759,288478.9892
160,5936.441935,8010.870217,0.041156841,288478.9892
161,8503.551961,7862.17657,0.058954394,288478.9892
162,14279.54952,7527.615865,0.098998888,288478.9892
163,30163.5428,6607.573926,0.209121246,288478.9892
164,60968.86311,4823.250166,0.42269188,288478.9892
165,82789.29833,3559.354168,0.573971079,288478.9892
166,96908.40348,2741.539111,0.67185762,288478.9892
167,112471.508,1840.083878,0.779755284,288478.9892
168,125627.9469,1078.028939,0.870967742,288478.9892
169,129237.9454,868.928498,0.895995551,288478.9892
170,132847.9438,659.8280573,0.921023359,288478.9892
171,128676.39,901.4552333,0.892102336,288478.9892
172,126269.7244,1040.855527,0.87541713,288478.9892
173,124344.3919,1152.375762,0.862068966,288478.9892
174,122900.3925,1236.015938,0.852057842,288478.9892
175,119210.1718,1449.763056,0.82647386,288478.9892
176,108781.2873,2053.830995,0.754171301,288478.9892
177,90811.51717,3094.686522,0.629588432,288478.9892
178,50539.97863,5427.318105,0.350389321,288478.9892
179,24868.87838,6914.254573,0.172413793,288478.9892
180,15242.21578,7471.855748,0.10567297,288478.9892
181,13316.88326,7583.375983,0.092324805,288478.9892
182,4973.775675,8066.630335,0.034482759,288478.9892
183,4973.775675,8066.630335,0.034482759,288478.9892
184,5936.441935,8010.870217,0.041156841,288478.9892
185,8503.551961,7862.17657,0.058954394,288478.9892
186,14279.54952,7527.615865,0.098998888,288478.9892
187,30163.5428,6607.573926,0.209121246,288478.9892
188,60968.86311,4823.250166,0.42269188,288478.9892
189,82789.29833,3559.354168,0.573971079,288478.9892
190,96908.40348,2741.539111,0.67185762,288478.9892
191,112471.508,1840.083878,0.779755284,288478.9892
192,125627.9469,1078.028939,0.870967742,288478.9892
193,129237.9454,868.928498,0.895995551,288478.9892
194,132847.9438,659.8280573,0.921023359,288478.9892
195,128676.39,901.4552333,0.892102336,288478.9892
196,126269.7244,1040.855527,0.87541713,288478.9892
197,124344.3919,1152.375762,0.862068966,288478.9892
198,122900.3925,1236.015938,0.852057842,288478.9892
199,119210.1718,1449.763056,0.82647386,288478.9892
200,108781.2873,2053.830995,0.754171301,288478.9892
201,90811.51717,3094.686522,0.629588432,288478.9892
202,50539.97863,5427.318105,0.350389321,288478.9892
203,24868.87838,6914.254573,0.172413793,288478.9892
204,15242.21578,7471.855748,0.10567297,288478.9892
205,13316.88326,7583.375983,0.092324805,288478.9892
206,4973.775675,8066.630335,0.034482759,288478.9892
207,4973.775675,8066.630335,0.034482759,288478.9892
208,5936.441935,8010.870217,0.041156841,288478.9892
209,8503.551961,7862.17657,0.058954394,288478.9892
210,14279.54952,7527.615865,0.098998888,288478.9892
211,30163.5428,6607.573926,0.209121246,288478.9892
212,60968.86311,4823.250166,0.42269188,288478.9892
213,82789.29833,3559.354168,0.573971079,288478.9892
214,96908.40348,2741.539111,0.67185762,288478.9892
215,112471.508,1840.083878,0.779755284,288478.9892
216,125627.9469,1078.028939,0.870967742,288478.9892
217,129237.9454,868.928498,0.895995551,288478.9892
218,132847.9438,659.8280573,0.921023359,288478.9892
219,128676.39,901.4552333,0.892102336,288478.9892
220,126269.7244,1040.855527,0.87541713,288478.9892
221,124344.3919,1152.375762,0.862068966,288478.9892
222,122900.3925,1236.015938,0.852057842,288478.9892
223,119210.1718,1449.763056,0.82647386,288478.9892
224,108781.2873,2053.830995,0.754171301,288478.9892
225,90811.51717,3094.686522,0.629588432,288478.9892
226,50539.97863,5427.318105,0.350389321,288478.9892
227,24868.87838,6914.254573,0.172413793,288478.9892
228,15242.21578,7471.855748,0.10567297,288478.9892
229,13316.88326,7583.375983,0.092324805,288478.9892
230,4973.775675,8066.630335,0.034482759,288478.9892
231,4973.775675,8066.630335,0.034482759,288478.9892
232,5936.441935,8010.870217,0.041156841,288478.9892
233,8503.551961,7862.17657,0.058954394,288478.9892
234,14279.54952,7527.615865,0.098998888,288478.9892
235,30163.5428,6607.573926,0.209121246,288478.9892
236,60968.86311,4823.250166,0.42269188,288478.9892
237,82789.29833,3559.354168,0.573971079,288478.9892
238,96908.40348,2741.539111,0.67185762,288478.9892
239,112471.508,1840.083878,0.779755284,288478.9892
240,125627.9469,1078.028939,0.870967742,288478.9892
241,129237.9454,868.928498,0.895995551,288478.9892
242,132847.9438,659.8280573,0.921023359,288478.9892
243,128676.39,901.4552333,0.892102336,288478.9892
244,126269.7244,1040.855527,0.87541713,288478.9892
245,124344.3919,1152.375762,0.862068966,288478.9892
246,122900.3925,1236.015938,0.852057842,288478.9892
247,119210.1718,1449.763056,0.82647386,288478.9892
248,108781.2873,2053.830995,0.754171301,288478.9892
249,90811.51717,3094.686522,0.629588432,288478.9892
250,50539.97863,5427.318105,0.350389321,288478.9892
251,24868.87838,6914.254573,0.172413793,288478.9892
252,15242.21578,7471.855748,0.10567297,288478.9892
253,13316.88326,7583.375983,0.092324805,288478.9892
254,4973.775675,8066.630335,0.034482759,288478.9892
255,4973.775675,8066.630335,0.034482759,288478.9892
256,5936.441935,8010.870217,0.041156841,288478.9892
257,8503.551961,7862.17657,0.058954394,288478.9892
258,14279.54952,7527.615865,0.098998888,288478.9892
259,30163.5428,6607.573926,0.209121246,288478.9892
260,60968.86311,4823.250166,0.42269188,288478.9892
261,82789.29833,3559.354168,0.573971079,288478.9892
262,96908.40348,2741.539111,0.67185762,288478.9892
263,112471.508,1840.083878,0.779755284,288478.9892
264,125627.9469,1078.028939,0.870967742,288478.9892
265,129237.9454,868.928498,0.895995551,288478.9892
266,132847.9438,659.8280573,0.921023359,288478.9892
267,128676.39,901.4552333,0.892102336,288478.9892
268,126269.7244,1040.855527,0.87541713,288478.9892
269,124344.3919,1152.375762,0.862068966,288478.9892
270,122900.3925,1236.015938,0.852057842,288478.9892
271,119210.1718,1449.763056,0.82647386,288478.9892
272,108781.2873,2053.830995,0.754171301,288478.9892
273,90811.51717,3094.686522,0.629588432,288478.9892
274,50539.97863,5427.318105,0.350389321,288478.9892
275,24868.87838,6914.254573,0.172413793,288478.9892
276,15242.21578,7471.855748,0.10567297,288478.9892
277,13316.88326,7583.375983,0.092324805,288478.9892
278,4973.775675,8066.630335,0.034482759,288478.9892
279,4973.775675,8066.630335,0.034482759,288478.9892
280,5936.441935,8010.870217,0.041156841,288478.9892
281,8503.551961,7862.17657,0.058954394,288478.9892
282,14279.54952,7527.615865,0.098998888,288478.9892
283,30163.5428,6607.573926,0.209121246,288478.9892
284,60968.86311,4823.250166,0.42269188,288478.9892
285,82789.29833,3559.354168,0.573971079,288478.9892
286,96908.40348,2741.539111,0.67185762,288478.9892
287,112471.508,1840.083878,0.779755284,288478.9892
288,125627.9469,1078.028939,0.870967742,288478.9892
289,129237.9454,868.928498,0.895995551,288478.9892
290,132847.9438,659.8280573,0.921023359,288478.9892
291,128676.39,901.4552333,0.892102336,288478.9892
292,126269.7244,1040.855527,0.87541713,288478.9892
293,124344.3919,1152.375762,0.862068966,288478.9892
294,122900.3925,1236.015938,0.852057842,288478.9892
295,119210.1718,1449.763056,0.82647386,288478.9892
296,108781.2873,2053.830995,0.754171301,288478.9892
297,90811.51717,3094.686522,0.629588432,288478.9892
298,50539.97863,5427.318105,0.350389321,288478.9892
299,24868.87838,6914.254573,0.172413793,288478.9892
300,15242.21578,7471.855748,0.10567297,288478.9892
301,13316.88326,7583.375983,0.092324805,288478.9892
302,4973.775675,8066.630335,0.034482759,288478.9892
303,4973.775675,8066.630335,0.034482759,288478.9892
304,5936.441935,8010.870217,0.041156841,288478.9892
305,8503.551961,7862.17657,0.058954394,288478.9892
306,14279.54952,7527.615865,0.098998888,288478.9892
307,30163.5428,6607.573926,0.209121246,288478.9892
308,60968.86311,4823.250166,0.42269188,288478.9892
309,82789.29833,3559.354168,0.573971079,288478.9892
310,96908.40348,2741.539111,0.67185762,288478.9892
311,112471.508,1840.083878,0.779755284,288478.9892
312,125627.9469,1078.028939,0.870967742,288478.9892
313,129237.9454,868.928498,0.895995551,288478.9892
314,132847.9438,659.8280573,0.921023359,288478.9892
315,128676.39,901.4552333,0.892102336,288478.9892
316,126269.7244,1040.855527,0.87541713,288478.9892
317,124344.3919,1152.375762,0.862068966,288478.9892
318,122900.3925,1236.015938,0.852057842,288478.9892
319,119210.1718,1449.763056,0.82647386,288478.9892
320,108781.2873,2053.830995,0.754171301,288478.9892
321,90811.51717,3094.686522,0.629588432,288478.9892
322,50539.97863,5427.318105,0.350389321,288478.9892
323,24868.87838,6914.254573,0.172413793,288478.9892
324,15242.21578,7471.855748,0.10567297,288478.9892
325,13316.88326,7583.375983,0.092324805,288478.9892
326,4973.775675,8066.630335,0.034482759,288478.9892
327,4973.775675,8066.630335,0.034482759,288478.9892
328,5936.441935,8010.870217,0.041156841,288478.9892
329,8503.551961,7862.17657,0.058954394,288478.9892
330,14279.54952,7527.615865,0.098998888,288478.9892
331,30163.5428,6607.573926,0.209121246,288478.9892
332,60968.86311,4823.250166,0.42269188,288478.9892
333,82789.29833,3559.354168,0.573971079,288478.9892
334,96908.40348,2741.539111,0.67185762,288478.9892
335,112471.508,1840.083878,0.779755284,288478.9892
336,125627.9469,1078.028939,0.870967742,288478.9892
337,129237.9454,868.928498,0.895995551,288478.9892
338,132847.9438,659.8280573,0.921023359,288478.9892
339,128676.39,901.4552333,0.892102336,288478.9892
340,126269.7244,1040.855527,0.87541713,288478.9892
341,124344.3919,1152.375762,0.862068966,288478.9892
342,122900.3925,1236.015938,0.852057842,288478.9892
343,119210.1718,1449.763056,0.82647386,288478.9892
344,108781.2873,2053.830995,0.754171301,288478.9892
345,90811.51717,3094.686522,0.629588432,288478.9892
346,50539.97863,5427.318105,0.350389321,288478.9892
347,24868.87838,6914.254573,0.172413793,288478.9892
348,15242.21578,7471.855748,0.10567297,288478.9892
349,13316.88326,7583.375983,0.092324805,288478.9892
350,4973.775675,8066.630335,0.034482759,288478.9892
351,4973.775675,8066.630335,0.034482759,288478.9892
352,5936.441935,8010.870217,0.041156841,288478.9892
353,8503.551961,7862.17657,0.058954394,288478.9892
354,14279.54952,7527.615865,0.098998888,288478.9892
355,30163.5428,6607.573926,0.209121246,288478.9892
356,60968.86311,4823.250166,0.42269188,288478.9892
357,82789.29833,3559.354168,0.573971079,288478.9892
358,96908.40348,2741.539111,0.67185762,288478.9892
359,112471.508,1840.083878,0.779755284,288478.9892
360,125627.9469,1078.028939,0.870967742,288478.9892
361,129237.9454,868.928498,0.895995551,288478.9892
362,132847.9438,659.8280573,0.921023359,288478.9892
363,128676.39,901.4552333,0.892102336,288478.9892
364,126269.7244,1040.855527,0.87541713,288478.9892
365,124344.3919,1152.375762,0.862068966,288478.9892
366,122900.3925,1236.015938,0.852057842,288478.9892
367,119210.1718,1449.763056,0.82647386,288478.9892
368,108781.2873,2053.830995,0.754171301,288478.9892
369,90811.51717,3094.686522,0.629588432,288478.9892
370,50539.97863,5427.318105,0.350389321,288478.9892
371,24868.87838,6914.254573,0.172413793,288478.9892
372,15242.21578,7471.855748,0.10567297,288478.9892
373,13316.88326,7583.375983,0.092324805,288478.9892
374,4973.775675,8066.630335,0.034482759,288478.9892
375,4973.775675,8066.630335,0.034482759,288478.9892
376,5936.441935,8010.870217,0.041156841,288478.9892
377,8503.551961,7862.17657,0.058954394,288478.9892
378,14279.54952,7527.615865,0.098998888,288478.9892
379,30163.5428,6607.573926,0.209121246,288478.9892
380,60968.86311,4823.250166,0.42269188,288478.9892
381,82789.29833,3559.354168,0.573971079,288478.9892
382,96908.40348,2741.539111,0.67185762,288478.9892
383,112471.508,1840.083878,0.779755284,288478.9892
384,125627.9469,1078.028939,0.870967742,288478.9892
385,129237.9454,868.928498,0.895995551,288478.9892
386,132847.9438,659.8280573,0.921023359,288478.9892
387,128676.39,901.4552333,0.892102336,288478.9892
388,126269.7244,1040.855527,0.87541713,288478.9892
389,124344.3919,1152.375762,0.862068966,288478.9892
390,122900.3925,1236.015938,0.852057842,288478.9892
391,119210.1718,1449.763056,0.82647386,288478.9892
392,108781.2873,2053.830995,0.754171301,288478.9892
393,90811.51717,3094.686522,0.629588432,288478.9892
394,50539.97863,5427.318105,0.350389321,288478.9892
395,24868.87838,6914.254573,0.172413793,288478.9892
396,15242.21578,7471.855748,0.10567297,288478.9892
397,13316.88326,7583.375983,0.092324805,288478.9892
398,4973.775675,8066.630335,0.034482759,288478.9892
399,4973.775675,8066.630335,0.034482759,288478.9892
400,5936.441935,8010.870217,0.041156841,288478.9892
401,8503.551961,7862.17657,0.058954394,288478.9892
402,14279.54952,7527.615865,0.098998888,288478.9892
403,30163.5428,6607.573926,0.209121246,288478.9892
404,60968.86311,4823.250166,0.42269188,288478.9892
405,82789.29833,3559.354168,0.573971079,288478.9892
406,96908.40348,2741.539111,0.67185762,288478.9892
407,112471.508,1840.083878,0.779755284,288478.9892
408,125627.9469,1078.028939,0.870967742,288478.9892
409,129237.9454,868.928498,0.895995551,288478.9892
410,132847.9438,659.8280573,0.921023359,288478.9892
411,128676.39,901.4552333,0.892102336,288478.9892
412,126269.7244,1040.855527,0.87541713,288478.9892
413,124344.3919,1152.375762,0.862068966,288478.9892
414,122900.3925,1236.015938,0.852057842,288478.9892
415,119210.1718,1449.763056,0.82647386,288478.9892
416,108781.2873,2053.830995,0.754171301,288478.9892
417,90811.51717,3094.686522,0.629588432,288478.9892
418,50539.97863,5427.318105,0.350389321,288478.9892
419,24868.87838,6914.254573,0.172413793,288478.9892
420,15242.21578,7471.855748,0.10567297,288478.9892
421,13316.88326,7583.375983,0.092324805,288478.9892
422,4973.775675,8066.630335,0.034482759,288478.9892
423,4973.775675,8066.630335,0.034482759,288478.9892
424,5936.441935,8010.870217,0.041156841,288478.9892
425,8503.551961,7862.17657,0.058954394,288478.9892
426,14279.54952,7527.615865,0.098998888,288478.9892
427,30163.5428,6607.573926,0.209121246,288478.9892
428,60968.86311,4823.250166,0.42269188,288478.9892
429,82789.29833,3559.354168,0.573971079,288478.9892
430,96908.40348,2741.539111,0.67185762,288478.9892
431,112471.508,1840.083878,0.779755284,288478.9892
432,125627.9469,1078.028939,0.870967742,288478.9892
433,129237.9454,868.928498,0.895995551,288478.9892
434,132847.9438,659.8280573,0.921023359,288478.9892
435,128676.39,901.4552333,0.892102336,288478.9892
436,126269.7244,1040.855527,0.87541713,288478.9892
437,124344.3919,1152.375762,0.862068966,288478.9892
438,122900.3925,1236.015938,0.852057842,288478.9892
439,119210.1718,1449.763056,0.82647386,288478.9892
440,108781.2873,2053.830995,0.754171301,288478.9892
441,90811.51717,3094.686522,0.629588432,288478.9892
442,50539.97863,5427.318105,0.350389321,288478.9892
443,24868.87838,6914.254573,0.172413793,288478.9892
444,15242.21578,7471.855748,0.10567297,288478.9892
445,13316.88326,7583.375983,0.092324805,288478.9892
446,4973.775675,8066.630335,0.034482759,288478.9892
447,4973.775675,8066.630335,0.034482759,288478.9892
448,5936.441935,8010.870217,0.041156841,288478.9892
449,8503.551961,7862.17657,0.058954394,288478.9892
450,14279.54952,7527.615865,0.098998888,288478.9892
451,30163.5428,6607.573926,0.209121246,288478.9892
452,60968.86311,4823.250166,0.42269188,288478.9892
453,82789.29833,3559.354168,0.573971079,288478.9892
454,96908.40348,2741.539111,0.67185762,288478.9892
455,112471.508,1840.083878,0.779755284,288478.9892
456,125627.9469,1078.028939,0.870967742,288478.9892
457,129237.9454,868.928498,0.895995551,288478.9892
458,132847.9438,659.8280573,0.921023359,288478.9892
459,128676.39,901.4552333,0.892102336,288478.9892
460,126269.7244,1040.855527,0.87541713,288478.9892
461,124344.3919,1152.375762,0.862068966,288478.9892
462,122900.3925,1236.015938,0.852057842,288478.9892
463,119210.1718,1449.763056,0.82647386,288478.9892
464,108781.2873,2053.830995,0.754171301,288478.9892
465,90811.51717,3094.686522,0.629588432,288478.9892
466,50539.97863,5427.318105,0.350389321,288478.9892
467,24868.87838,6914.254573,0.172413793,288478.9892
468,15242.21578,7471.855748,0.10567297,288478.9892
469,13316.88326,7583.375983,0.092324805,288478.9892
470,4973.775675,8066.630335,0.034482759,288478.9892
471,4973.775675,8066.630335,0.034482759,288478.9892
472,5936.441935,8010.870217,0.041156841,288478.9892
473,8503.551961,7862.17657,0.058954394,288478.9892
474,14279.54952,7527.615865,0.098998888,288478.9892
475,30163.5428,6607.573926,0.209121246,288478.9892
476,60968.86311,4823.250166,0.42269188,288478.9892
477,82789.29833,3559.354168,0.573971079,288478.9892
478,96908.40348,2741.539111,0.67185762,288478.9892
479,112471.508,1840.083878,0.779755284,288478.9892
480,125627.9469,1078.028939,0.870967742,288478.9892
481,129237.9454,868.928498,0.895995551,288478.9892
482,132847.9438,659.8280573,0.921023359,288478.9892
483,128676.39,901.4552333,0.892102336,288478.9892
