hour,power,driving,fraction,E_cap
1,148530.7067,998.6429566,0.895995551,331543.4024
2,152679.6091,758.3278066,0.921023359,331543.4024
3,147885.3219,1036.025313,0.892102336,331543.4024
4,145119.3869,1196.235413,0.87541713,331543.4024
5,142906.6389,1324.403493,0.862068966,331543.4024
6,141247.078,1420.529553,0.852057842,331543.4024
7,137005.9777,1666.18504,0.82647386,331543.4024
8,125020.2596,2360.428806,0.754171301,331543.4024
9,104367.9453,3556.66422,0.629588432,331543.4024
10,58084.6339,6237.513226,0.350389321,331543.4024
11,28581.32779,7946.420959,0.172413793,331543.4024
12,17517.588,8587.261359,0.10567297,331543.4024
13,15304.84004,8715.429439,0.092324805,331543.4024
14,5716.265558,9270.824453,0.034482759,331543.4024
15,5716.265558,9270.824453,0.034482759,331543.4024
16,6822.639537,9206.740413,0.041156841,331543.4024
17,9772.970147,9035.849639,0.058954394,331543.4024
18,16411.21402,8651.345399,0.098998888,331543.4024
19,34666.38467,7593.958739,0.209121246,331543.4024
20,70070.352,5543.26946,0.42269188,331543.4024
21,95148.16219,4090.697886,0.573971079,331543.4024
22,111374.9805,3150.798633,0.67185762,331543.4024
23,129261.3599,2114.77332,0.779755284,331543.4024
24,144381.8043,1238.958107,0.870967742,331543.4024
25,148530.7067,998.6429566,0.895995551,331543.4024
26,152679.6091,758.3278066,0.921023359,331543.4024
27,147885.3219,1036.025313,0.892102336,331543.4024
28,145119.3869,1196.235413,0.87541713,331543.4024
29,142906.6389,1324.403493,0.862068966,331543.4024
30,141247.078,1420.529553,0.852057842,331543.4024
31,137005.9777,1666.18504,0.82647386,331543.4024
32,125020.2596,2360.428806,0.754171301,331543.4024
33,104367.9453,3556.66422,0.629588432,331543.4024
34,58084.6339,6237.513226,0.350389321,331543.4024
35,28581.32779,7946.420959,0.172413793,331543.4024
36,17517.588,8587.261359,0.10567297,331543.4024
37,15304.84004,8715.429439,0.092324805,331543.4024
38,5716.265558,9270.824453,0.034482759,331543.4024
39,5716.265558,9270.824453,0.034482759,331543.4024
40,6822.639537,9206.740413,0.041156841,331543.4024
41,9772.970147,9035.849639,0.058954394,331543.4024
42,16411.21402,8651.345399,0.098998888,331543.4024
43,34666.38467,7593.958739,0.209121246,331543.4024
44,70070.352,5543.26946,0.42269188,331543.4024
