,Year,State Code,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
27215,2009,AK,419.0,414.0
27238,2009,AL,"3,280.0","3,272.0"
27264,2009,AR,"1,321.0","1,337.0"
27295,2009,AZ,"2,718.0","2,720.0"
27344,2009,CA,"10,049.0","10,144.0"
27379,2009,CO,649.0,666.0
27409,2009,CT,119.0,122.0
27470,2009,FL,56.0,55.0
27503,2009,GA,"1,932.0","2,046.0"
27535,2009,HI,25.0,24.0
27563,2009,IA,131.0,144.0
27589,2009,ID,"2,516.0","2,682.0"
27626,2009,IL,39.0,34.0
27660,2009,IN,92.0,60.0
27681,2009,KS,3.0,3.0
27700,2009,KY,804.0,824.0
27728,2009,LA,192.0,192.0
27768,2009,MA,271.0,261.0
27801,2009,MD,527.0,590.0
27829,2009,ME,725.0,738.0
27869,2009,MI,377.0,251.0
27910,2009,MN,204.0,194.0
27940,2009,MO,499.0,564.0
27986,2009,MT,"2,570.0","2,692.0"
28023,2009,NC,"1,848.0","1,952.0"
28048,2009,ND,614.0,508.0
28072,2009,NE,332.0,278.0
28101,2009,NH,445.0,498.0
28136,2009,NJ,13.0,6.0
28164,2009,NM,79.0,82.0
28190,2009,NV,"1,052.0","1,051.0"
28227,2009,NY,"4,657.0","4,310.0"
28261,2009,OH,128.0,101.0
28294,2009,OK,792.0,854.0
28324,2009,OR,"8,240.0","8,430.0"
28359,2009,PA,775.0,747.0
28379,2009,RI,3.0,3.0
28407,2009,SC,"1,363.0","1,337.0"
28427,2009,SD,"1,598.0","1,594.0"
28452,2009,TN,"2,479.0","2,614.0"
28493,2009,TX,697.0,689.0
28560,2009,US,"77,910.0","78,518.0"
28593,2009,UT,263.0,256.0
28626,2009,VA,744.0,716.0
28647,2009,VT,315.0,322.0
28681,2009,WA,"20,815.0","21,088.0"
28725,2009,WI,518.0,492.0
28750,2009,WV,325.0,264.0
28772,2009,WY,300.0,304.0
