hour,power,driving,fraction,E_cap
1,104681.7434,703.8254111,0.895995551,233665.7661
2,107605.8144,534.4556598,0.921023359,233665.7661
3,104226.8879,730.1718169,0.892102336,233665.7661
4,102277.5072,843.0849844,0.87541713,233665.7661
5,100718.0026,933.4155185,0.862068966,233665.7661
6,99548.37419,1001.163419,0.852057842,233665.7661
7,96559.32379,1174.296943,0.82647386,233665.7661
8,88112.00745,1663.587335,0.754171301,233665.7661
9,73556.63159,2506.67232,0.629588432,233665.7661
10,40936.99461,4396.08599,0.350389321,233665.7661
11,20143.60052,5600.493111,0.172413793,233665.7661
12,12346.07774,6052.145781,0.10567297,233665.7661
13,10786.57318,6142.476315,0.092324805,233665.7661
14,4028.720104,6533.908629,0.034482759,233665.7661
15,4028.720104,6533.908629,0.034482759,233665.7661
16,4808.472383,6488.743362,0.041156841,233665.7661
17,6887.811792,6368.30265,0.058954394,233665.7661
18,11566.32546,6097.311048,0.098998888,233665.7661
19,24432.23805,5352.084142,0.209121246,233665.7661
20,49384.31096,3906.795598,0.42269188,233665.7661
21,67058.69593,2883.049545,0.573971079,233665.7661
22,78495.06268,2220.625629,0.67185762,233665.7661
23,91101.05785,1490.453812,0.779755284,233665.7661
24,101757.6723,873.1951625,0.870967742,233665.7661
25,104681.7434,703.8254111,0.895995551,233665.7661
26,107605.8144,534.4556598,0.921023359,233665.7661
27,104226.8879,730.1718169,0.892102336,233665.7661
28,102277.5072,843.0849844,0.87541713,233665.7661
29,100718.0026,933.4155185,0.862068966,233665.7661
30,99548.37419,1001.163419,0.852057842,233665.7661
31,96559.32379,1174.296943,0.82647386,233665.7661
32,88112.00745,1663.587335,0.754171301,233665.7661
33,73556.63159,2506.67232,0.629588432,233665.7661
34,40936.99461,4396.08599,0.350389321,233665.7661
35,20143.60052,5600.493111,0.172413793,233665.7661
36,12346.07774,6052.145781,0.10567297,233665.7661
37,10786.57318,6142.476315,0.092324805,233665.7661
38,4028.720104,6533.908629,0.034482759,233665.7661
39,4028.720104,6533.908629,0.034482759,233665.7661
40,4808.472383,6488.743362,0.041156841,233665.7661
41,6887.811792,6368.30265,0.058954394,233665.7661
42,11566.32546,6097.311048,0.098998888,233665.7661
43,24432.23805,5352.084142,0.209121246,233665.7661
44,49384.31096,3906.795598,0.42269188,233665.7661
45,67058.69593,2883.049545,0.573971079,233665.7661
46,78495.06268,2220.625629,0.67185762,233665.7661
47,91101.05785,1490.453812,0.779755284,233665.7661
48,101757.6723,873.1951625,0.870967742,233665.7661
49,104681.7434,703.8254111,0.895995551,233665.7661
50,107605.8144,534.4556598,0.921023359,233665.7661
51,104226.8879,730.1718169,0.892102336,233665.7661
52,102277.5072,843.0849844,0.87541713,233665.7661
53,100718.0026,933.4155185,0.862068966,233665.7661
54,99548.37419,1001.163419,0.852057842,233665.7661
55,96559.32379,1174.296943,0.82647386,233665.7661
56,88112.00745,1663.587335,0.754171301,233665.7661
57,73556.63159,2506.67232,0.629588432,233665.7661
58,40936.99461,4396.08599,0.350389321,233665.7661
59,20143.60052,5600.493111,0.172413793,233665.7661
60,12346.07774,6052.145781,0.10567297,233665.7661
