hour,power,driving,fraction,E_cap
1,65759.26299,442.130966,0.895995551,146784.7981
2,67596.11391,335.7358137,0.921023359,146784.7981
3,65473.53063,458.681323,0.892102336,146784.7981
4,64248.96335,529.6114245,0.87541713,146784.7981
5,63269.30952,586.3555057,0.862068966,146784.7981
6,62534.56915,628.9135666,0.852057842,146784.7981
7,60656.89932,737.6730555,0.82647386,146784.7981
8,55350.4411,1045.036829,0.754171301,146784.7981
9,46207.0054,1574.648253,0.629588432,146784.7981
10,25715.9129,2761.545285,0.350389321,146784.7981
11,12653.8619,3518.133034,0.172413793,146784.7981
12,7755.59278,3801.85344,0.10567297,146784.7981
13,6775.938955,3858.597521,0.092324805,146784.7981
14,2530.772381,4104.48854,0.034482759,146784.7981
15,2530.772381,4104.48854,0.034482759,146784.7981
16,3020.599293,4076.116499,0.041156841,146784.7981
17,4326.804393,4000.457724,0.058954394,146784.7981
18,7265.765868,3830.225481,0.098998888,146784.7981
19,15347.90992,3362.086811,0.209121246,146784.7981
20,31022.37112,2454.181512,0.42269188,146784.7981
21,42125.11447,1811.081925,0.573971079,146784.7981
22,49309.24252,1394.958663,0.67185762,146784.7981
23,57228.11093,936.2773397,0.779755284,146784.7981
24,63922.41207,548.5261182,0.870967742,146784.7981
25,65759.26299,442.130966,0.895995551,146784.7981
26,67596.11391,335.7358137,0.921023359,146784.7981
27,65473.53063,458.681323,0.892102336,146784.7981
28,64248.96335,529.6114245,0.87541713,146784.7981
29,63269.30952,586.3555057,0.862068966,146784.7981
30,62534.56915,628.9135666,0.852057842,146784.7981
31,60656.89932,737.6730555,0.82647386,146784.7981
32,55350.4411,1045.036829,0.754171301,146784.7981
33,46207.0054,1574.648253,0.629588432,146784.7981
34,25715.9129,2761.545285,0.350389321,146784.7981
35,12653.8619,3518.133034,0.172413793,146784.7981
36,7755.59278,3801.85344,0.10567297,146784.7981
37,6775.938955,3858.597521,0.092324805,146784.7981
38,2530.772381,4104.48854,0.034482759,146784.7981
39,2530.772381,4104.48854,0.034482759,146784.7981
40,3020.599293,4076.116499,0.041156841,146784.7981
41,4326.804393,4000.457724,0.058954394,146784.7981
42,7265.765868,3830.225481,0.098998888,146784.7981
43,15347.90992,3362.086811,0.209121246,146784.7981
44,31022.37112,2454.181512,0.42269188,146784.7981
45,42125.11447,1811.081925,0.573971079,146784.7981
46,49309.24252,1394.958663,0.67185762,146784.7981
47,57228.11093,936.2773397,0.779755284,146784.7981
48,63922.41207,548.5261182,0.870967742,146784.7981
49,65759.26299,442.130966,0.895995551,146784.7981
50,67596.11391,335.7358137,0.921023359,146784.7981
51,65473.53063,458.681323,0.892102336,146784.7981
52,64248.96335,529.6114245,0.87541713,146784.7981
53,63269.30952,586.3555057,0.862068966,146784.7981
54,62534.56915,628.9135666,0.852057842,146784.7981
55,60656.89932,737.6730555,0.82647386,146784.7981
56,55350.4411,1045.036829,0.754171301,146784.7981
57,46207.0054,1574.648253,0.629588432,146784.7981
58,25715.9129,2761.545285,0.350389321,146784.7981
59,12653.8619,3518.133034,0.172413793,146784.7981
60,7755.59278,3801.85344,0.10567297,146784.7981
61,6775.938955,3858.597521,0.092324805,146784.7981
62,2530.772381,4104.48854,0.034482759,146784.7981
63,2530.772381,4104.48854,0.034482759,146784.7981
64,3020.599293,4076.116499,0.041156841,146784.7981
65,4326.804393,4000.457724,0.058954394,146784.7981
66,7265.765868,3830.225481,0.098998888,146784.7981
67,15347.90992,3362.086811,0.209121246,146784.7981
68,31022.37112,2454.181512,0.42269188,146784.7981
69,42125.11447,1811.081925,0.573971079,146784.7981
70,49309.24252,1394.958663,0.67185762,146784.7981
71,57228.11093,936.2773397,0.779755284,146784.7981
72,63922.41207,548.5261182,0.870967742,146784.7981
73,65759.26299,442.130966,0.895995551,146784.7981
74,67596.11391,335.7358137,0.921023359,146784.7981
75,65473.53063,458.681323,0.892102336,146784.7981
76,64248.96335,529.6114245,0.87541713,146784.7981
77,63269.30952,586.3555057,0.862068966,146784.7981
78,62534.56915,628.9135666,0.852057842,146784.7981
79,60656.89932,737.6730555,0.82647386,146784.7981
80,55350.4411,1045.036829,0.754171301,146784.7981
81,46207.0054,1574.648253,0.629588432,146784.7981
82,25715.9129,2761.545285,0.350389321,146784.7981
83,12653.8619,3518.133034,0.172413793,146784.7981
84,7755.59278,3801.85344,0.10567297,146784.7981
