hour,power,driving,fraction,E_cap
1,101249.3439,680.7477483,0.895995551,226004.122
2,104077.5378,516.9314452,0.921023359,226004.122
3,100809.4026,706.2302843,0.892102336,226004.122
4,98923.93995,815.441153,0.87541713,226004.122
5,97415.56984,902.809848,0.862068966,226004.122
6,96284.29225,968.3363692,0.852057842,226004.122
7,93393.24953,1135.793035,0.82647386,226004.122
8,85222.91142,1609.040132,0.754171301,226004.122
9,71144.79036,2424.481285,0.629588432,226004.122
10,39594.71548,4251.943155,0.350389321,226004.122
11,19483.11397,5416.859088,0.172413793,226004.122
12,11941.2634,5853.702563,0.10567297,226004.122
13,10432.89329,5941.071258,0.092324805,226004.122
14,3896.622793,6319.668936,0.034482759,226004.122
15,3896.622793,6319.668936,0.034482759,226004.122
16,4650.80785,6275.984588,0.041156841,226004.122
17,6661.968002,6159.492995,0.058954394,226004.122
18,11187.07834,5897.38691,0.098998888,226004.122
19,23631.13178,5176.595177,0.209121246,226004.122
20,47765.0536,3778.696057,0.42269188,226004.122
21,64859.91488,2788.517514,0.573971079,226004.122
22,75921.29572,2147.813751,0.67185762,226004.122
23,88113.95414,1441.583467,0.779755284,226004.122
24,98421.14991,844.5640513,0.870967742,226004.122
25,101249.3439,680.7477483,0.895995551,226004.122
26,104077.5378,516.9314452,0.921023359,226004.122
27,100809.4026,706.2302843,0.892102336,226004.122
28,98923.93995,815.441153,0.87541713,226004.122
29,97415.56984,902.809848,0.862068966,226004.122
30,96284.29225,968.3363692,0.852057842,226004.122
31,93393.24953,1135.793035,0.82647386,226004.122
32,85222.91142,1609.040132,0.754171301,226004.122
33,71144.79036,2424.481285,0.629588432,226004.122
34,39594.71548,4251.943155,0.350389321,226004.122
35,19483.11397,5416.859088,0.172413793,226004.122
36,11941.2634,5853.702563,0.10567297,226004.122
37,10432.89329,5941.071258,0.092324805,226004.122
38,3896.622793,6319.668936,0.034482759,226004.122
39,3896.622793,6319.668936,0.034482759,226004.122
40,4650.80785,6275.984588,0.041156841,226004.122
41,6661.968002,6159.492995,0.058954394,226004.122
42,11187.07834,5897.38691,0.098998888,226004.122
43,23631.13178,5176.595177,0.209121246,226004.122
44,47765.0536,3778.696057,0.42269188,226004.122
45,64859.91488,2788.517514,0.573971079,226004.122
46,75921.29572,2147.813751,0.67185762,226004.122
47,88113.95414,1441.583467,0.779755284,226004.122
48,98421.14991,844.5640513,0.870967742,226004.122
49,101249.3439,680.7477483,0.895995551,226004.122
50,104077.5378,516.9314452,0.921023359,226004.122
51,100809.4026,706.2302843,0.892102336,226004.122
52,98923.93995,815.441153,0.87541713,226004.122
53,97415.56984,902.809848,0.862068966,226004.122
54,96284.29225,968.3363692,0.852057842,226004.122
55,93393.24953,1135.793035,0.82647386,226004.122
56,85222.91142,1609.040132,0.754171301,226004.122
57,71144.79036,2424.481285,0.629588432,226004.122
58,39594.71548,4251.943155,0.350389321,226004.122
59,19483.11397,5416.859088,0.172413793,226004.122
60,11941.2634,5853.702563,0.10567297,226004.122
61,10432.89329,5941.071258,0.092324805,226004.122
62,3896.622793,6319.668936,0.034482759,226004.122
63,3896.622793,6319.668936,0.034482759,226004.122
64,4650.80785,6275.984588,0.041156841,226004.122
65,6661.968002,6159.492995,0.058954394,226004.122
66,11187.07834,5897.38691,0.098998888,226004.122
67,23631.13178,5176.595177,0.209121246,226004.122
68,47765.0536,3778.696057,0.42269188,226004.122
69,64859.91488,2788.517514,0.573971079,226004.122
70,75921.29572,2147.813751,0.67185762,226004.122
71,88113.95414,1441.583467,0.779755284,226004.122
72,98421.14991,844.5640513,0.870967742,226004.122
73,101249.3439,680.7477483,0.895995551,226004.122
74,104077.5378,516.9314452,0.921023359,226004.122
75,100809.4026,706.2302843,0.892102336,226004.122
76,98923.93995,815.441153,0.87541713,226004.122
77,97415.56984,902.809848,0.862068966,226004.122
78,96284.29225,968.3363692,0.852057842,226004.122
79,93393.24953,1135.793035,0.82647386,226004.122
80,85222.91142,1609.040132,0.754171301,226004.122
81,71144.79036,2424.481285,0.629588432,226004.122
82,39594.71548,4251.943155,0.350389321,226004.122
83,19483.11397,5416.859088,0.172413793,226004.122
84,11941.2634,5853.702563,0.10567297,226004.122
85,10432.89329,5941.071258,0.092324805,226004.122
86,3896.622793,6319.668936,0.034482759,226004.122
87,3896.622793,6319.668936,0.034482759,226004.122
88,4650.80785,6275.984588,0.041156841,226004.122
89,6661.968002,6159.492995,0.058954394,226004.122
90,11187.07834,5897.38691,0.098998888,226004.122
91,23631.13178,5176.595177,0.209121246,226004.122
92,47765.0536,3778.696057,0.42269188,226004.122
93,64859.91488,2788.517514,0.573971079,226004.122
94,75921.29572,2147.813751,0.67185762,226004.122
95,88113.95414,1441.583467,0.779755284,226004.122
96,98421.14991,844.5640513,0.870967742,226004.122
97,101249.3439,680.7477483,0.895995551,226004.122
98,104077.5378,516.9314452,0.921023359,226004.122
99,100809.4026,706.2302843,0.892102336,226004.122
100,98923.93995,815.441153,0.87541713,226004.122
101,97415.56984,902.809848,0.862068966,226004.122
102,96284.29225,968.3363692,0.852057842,226004.122
103,93393.24953,1135.793035,0.82647386,226004.122
104,85222.91142,1609.040132,0.754171301,226004.122
105,71144.79036,2424.481285,0.629588432,226004.122
106,39594.71548,4251.943155,0.350389321,226004.122
107,19483.11397,5416.859088,0.172413793,226004.122
108,11941.2634,5853.702563,0.10567297,226004.122
109,10432.89329,5941.071258,0.092324805,226004.122
110,3896.622793,6319.668936,0.034482759,226004.122
111,3896.622793,6319.668936,0.034482759,226004.122
112,4650.80785,6275.984588,0.041156841,226004.122
113,6661.968002,6159.492995,0.058954394,226004.122
114,11187.07834,5897.38691,0.098998888,226004.122
115,23631.13178,5176.595177,0.209121246,226004.122
116,47765.0536,3778.696057,0.42269188,226004.122
117,64859.91488,2788.517514,0.573971079,226004.122
118,75921.29572,2147.813751,0.67185762,226004.122
119,88113.95414,1441.583467,0.779755284,226004.122
120,98421.14991,844.5640513,0.870967742,226004.122
121,101249.3439,680.7477483,0.895995551,226004.122
122,104077.5378,516.9314452,0.921023359,226004.122
123,100809.4026,706.2302843,0.892102336,226004.122
124,98923.93995,815.441153,0.87541713,226004.122
125,97415.56984,902.809848,0.862068966,226004.122
126,96284.29225,968.3363692,0.852057842,226004.122
127,93393.24953,1135.793035,0.82647386,226004.122
128,85222.91142,1609.040132,0.754171301,226004.122
129,71144.79036,2424.481285,0.629588432,226004.122
130,39594.71548,4251.943155,0.350389321,226004.122
131,19483.11397,5416.859088,0.172413793,226004.122
132,11941.2634,5853.702563,0.10567297,226004.122
133,10432.89329,5941.071258,0.092324805,226004.122
134,3896.622793,6319.668936,0.034482759,226004.122
135,3896.622793,6319.668936,0.034482759,226004.122
136,4650.80785,6275.984588,0.041156841,226004.122
137,6661.968002,6159.492995,0.058954394,226004.122
138,11187.07834,5897.38691,0.098998888,226004.122
139,23631.13178,5176.595177,0.209121246,226004.122
140,47765.0536,3778.696057,0.42269188,226004.122
141,64859.91488,2788.517514,0.573971079,226004.122
142,75921.29572,2147.813751,0.67185762,226004.122
143,88113.95414,1441.583467,0.779755284,226004.122
144,98421.14991,844.5640513,0.870967742,226004.122
145,101249.3439,680.7477483,0.895995551,226004.122
146,104077.5378,516.9314452,0.921023359,226004.122
147,100809.4026,706.2302843,0.892102336,226004.122
148,98923.93995,815.441153,0.87541713,226004.122
149,97415.56984,902.809848,0.862068966,226004.122
150,96284.29225,968.3363692,0.852057842,226004.122
151,93393.24953,1135.793035,0.82647386,226004.122
152,85222.91142,1609.040132,0.754171301,226004.122
153,71144.79036,2424.481285,0.629588432,226004.122
154,39594.71548,4251.943155,0.350389321,226004.122
155,19483.11397,5416.859088,0.172413793,226004.122
156,11941.2634,5853.702563,0.10567297,226004.122
157,10432.89329,5941.071258,0.092324805,226004.122
158,3896.622793,6319.668936,0.034482759,226004.122
159,3896.622793,6319.668936,0.034482759,226004.122
160,4650.80785,6275.984588,0.041156841,226004.122
161,6661.968002,6159.492995,0.058954394,226004.122
162,11187.07834,5897.38691,0.098998888,226004.122
163,23631.13178,5176.595177,0.209121246,226004.122
164,47765.0536,3778.696057,0.42269188,226004.122
165,64859.91488,2788.517514,0.573971079,226004.122
166,75921.29572,2147.813751,0.67185762,226004.122
167,88113.95414,1441.583467,0.779755284,226004.122
168,98421.14991,844.5640513,0.870967742,226004.122
169,101249.3439,680.7477483,0.895995551,226004.122
170,104077.5378,516.9314452,0.921023359,226004.122
171,100809.4026,706.2302843,0.892102336,226004.122
172,98923.93995,815.441153,0.87541713,226004.122
173,97415.56984,902.809848,0.862068966,226004.122
