hour,power,driving,fraction,E_cap
1,53163.97115,357.4467968,0.895995551,118670.1677
2,54648.99827,271.430188,0.921023359,118670.1677
3,52932.96693,370.8271582,0.892102336,118670.1677
4,51942.94884,428.1715641,0.87541713,118670.1677
5,51150.93437,474.0470888,0.862068966,118670.1677
6,50556.92352,508.4537324,0.852057842,118670.1677
7,49038.89579,596.3818214,0.82647386,118670.1677
8,44748.81743,844.874247,0.754171301,118670.1677
9,37356.68239,1273.045811,0.629588432,118670.1677
10,20790.37978,2232.60887,0.350389321,118670.1677
11,10230.18687,2844.282533,0.172413793,118670.1677
12,6270.114536,3073.660157,0.10567297,118670.1677
13,5478.100068,3119.535681,0.092324805,118670.1677
14,2046.037375,3318.329622,0.034482759,118670.1677
15,2046.037375,3318.329622,0.034482759,118670.1677
16,2442.044609,3295.391859,0.041156841,118670.1677
17,3498.063899,3234.224493,0.058954394,118670.1677
18,5874.107302,3096.597919,0.098998888,118670.1677
19,12408.22666,2718.12484,0.209121246,118670.1677
20,25080.45814,1984.116444,0.42269188,118670.1677
21,34056.62211,1464.193831,0.573971079,118670.1677
22,39864.72821,1127.773316,0.67185762,118670.1677
23,46266.84516,756.9461579,0.779755284,118670.1677
24,51678.94402,443.4634057,0.870967742,118670.1677
25,53163.97115,357.4467968,0.895995551,118670.1677
26,54648.99827,271.430188,0.921023359,118670.1677
27,52932.96693,370.8271582,0.892102336,118670.1677
28,51942.94884,428.1715641,0.87541713,118670.1677
29,51150.93437,474.0470888,0.862068966,118670.1677
30,50556.92352,508.4537324,0.852057842,118670.1677
31,49038.89579,596.3818214,0.82647386,118670.1677
32,44748.81743,844.874247,0.754171301,118670.1677
33,37356.68239,1273.045811,0.629588432,118670.1677
34,20790.37978,2232.60887,0.350389321,118670.1677
35,10230.18687,2844.282533,0.172413793,118670.1677
36,6270.114536,3073.660157,0.10567297,118670.1677
37,5478.100068,3119.535681,0.092324805,118670.1677
38,2046.037375,3318.329622,0.034482759,118670.1677
39,2046.037375,3318.329622,0.034482759,118670.1677
40,2442.044609,3295.391859,0.041156841,118670.1677
41,3498.063899,3234.224493,0.058954394,118670.1677
42,5874.107302,3096.597919,0.098998888,118670.1677
43,12408.22666,2718.12484,0.209121246,118670.1677
44,25080.45814,1984.116444,0.42269188,118670.1677
45,34056.62211,1464.193831,0.573971079,118670.1677
46,39864.72821,1127.773316,0.67185762,118670.1677
47,46266.84516,756.9461579,0.779755284,118670.1677
48,51678.94402,443.4634057,0.870967742,118670.1677
49,53163.97115,357.4467968,0.895995551,118670.1677
50,54648.99827,271.430188,0.921023359,118670.1677
51,52932.96693,370.8271582,0.892102336,118670.1677
52,51942.94884,428.1715641,0.87541713,118670.1677
53,51150.93437,474.0470888,0.862068966,118670.1677
54,50556.92352,508.4537324,0.852057842,118670.1677
55,49038.89579,596.3818214,0.82647386,118670.1677
56,44748.81743,844.874247,0.754171301,118670.1677
57,37356.68239,1273.045811,0.629588432,118670.1677
58,20790.37978,2232.60887,0.350389321,118670.1677
59,10230.18687,2844.282533,0.172413793,118670.1677
60,6270.114536,3073.660157,0.10567297,118670.1677
61,5478.100068,3119.535681,0.092324805,118670.1677
62,2046.037375,3318.329622,0.034482759,118670.1677
63,2046.037375,3318.329622,0.034482759,118670.1677
64,2442.044609,3295.391859,0.041156841,118670.1677
65,3498.063899,3234.224493,0.058954394,118670.1677
66,5874.107302,3096.597919,0.098998888,118670.1677
67,12408.22666,2718.12484,0.209121246,118670.1677
68,25080.45814,1984.116444,0.42269188,118670.1677
69,34056.62211,1464.193831,0.573971079,118670.1677
70,39864.72821,1127.773316,0.67185762,118670.1677
71,46266.84516,756.9461579,0.779755284,118670.1677
72,51678.94402,443.4634057,0.870967742,118670.1677
73,53163.97115,357.4467968,0.895995551,118670.1677
74,54648.99827,271.430188,0.921023359,118670.1677
75,52932.96693,370.8271582,0.892102336,118670.1677
76,51942.94884,428.1715641,0.87541713,118670.1677
77,51150.93437,474.0470888,0.862068966,118670.1677
78,50556.92352,508.4537324,0.852057842,118670.1677
79,49038.89579,596.3818214,0.82647386,118670.1677
80,44748.81743,844.874247,0.754171301,118670.1677
81,37356.68239,1273.045811,0.629588432,118670.1677
82,20790.37978,2232.60887,0.350389321,118670.1677
83,10230.18687,2844.282533,0.172413793,118670.1677
84,6270.114536,3073.660157,0.10567297,118670.1677
85,5478.100068,3119.535681,0.092324805,118670.1677
86,2046.037375,3318.329622,0.034482759,118670.1677
87,2046.037375,3318.329622,0.034482759,118670.1677
88,2442.044609,3295.391859,0.041156841,118670.1677
89,3498.063899,3234.224493,0.058954394,118670.1677
90,5874.107302,3096.597919,0.098998888,118670.1677
91,12408.22666,2718.12484,0.209121246,118670.1677
92,25080.45814,1984.116444,0.42269188,118670.1677
93,34056.62211,1464.193831,0.573971079,118670.1677
94,39864.72821,1127.773316,0.67185762,118670.1677
95,46266.84516,756.9461579,0.779755284,118670.1677
96,51678.94402,443.4634057,0.870967742,118670.1677
97,53163.97115,357.4467968,0.895995551,118670.1677
98,54648.99827,271.430188,0.921023359,118670.1677
99,52932.96693,370.8271582,0.892102336,118670.1677
100,51942.94884,428.1715641,0.87541713,118670.1677
101,51150.93437,474.0470888,0.862068966,118670.1677
102,50556.92352,508.4537324,0.852057842,118670.1677
103,49038.89579,596.3818214,0.82647386,118670.1677
104,44748.81743,844.874247,0.754171301,118670.1677
105,37356.68239,1273.045811,0.629588432,118670.1677
106,20790.37978,2232.60887,0.350389321,118670.1677
107,10230.18687,2844.282533,0.172413793,118670.1677
108,6270.114536,3073.660157,0.10567297,118670.1677
109,5478.100068,3119.535681,0.092324805,118670.1677
110,2046.037375,3318.329622,0.034482759,118670.1677
111,2046.037375,3318.329622,0.034482759,118670.1677
112,2442.044609,3295.391859,0.041156841,118670.1677
113,3498.063899,3234.224493,0.058954394,118670.1677
114,5874.107302,3096.597919,0.098998888,118670.1677
115,12408.22666,2718.12484,0.209121246,118670.1677
116,25080.45814,1984.116444,0.42269188,118670.1677
117,34056.62211,1464.193831,0.573971079,118670.1677
118,39864.72821,1127.773316,0.67185762,118670.1677
119,46266.84516,756.9461579,0.779755284,118670.1677
120,51678.94402,443.4634057,0.870967742,118670.1677
121,53163.97115,357.4467968,0.895995551,118670.1677
122,54648.99827,271.430188,0.921023359,118670.1677
123,52932.96693,370.8271582,0.892102336,118670.1677
124,51942.94884,428.1715641,0.87541713,118670.1677
125,51150.93437,474.0470888,0.862068966,118670.1677
126,50556.92352,508.4537324,0.852057842,118670.1677
127,49038.89579,596.3818214,0.82647386,118670.1677
128,44748.81743,844.874247,0.754171301,118670.1677
129,37356.68239,1273.045811,0.629588432,118670.1677
130,20790.37978,2232.60887,0.350389321,118670.1677
131,10230.18687,2844.282533,0.172413793,118670.1677
132,6270.114536,3073.660157,0.10567297,118670.1677
133,5478.100068,3119.535681,0.092324805,118670.1677
134,2046.037375,3318.329622,0.034482759,118670.1677
135,2046.037375,3318.329622,0.034482759,118670.1677
136,2442.044609,3295.391859,0.041156841,118670.1677
137,3498.063899,3234.224493,0.058954394,118670.1677
138,5874.107302,3096.597919,0.098998888,118670.1677
139,12408.22666,2718.12484,0.209121246,118670.1677
140,25080.45814,1984.116444,0.42269188,118670.1677
141,34056.62211,1464.193831,0.573971079,118670.1677
142,39864.72821,1127.773316,0.67185762,118670.1677
143,46266.84516,756.9461579,0.779755284,118670.1677
144,51678.94402,443.4634057,0.870967742,118670.1677
145,53163.97115,357.4467968,0.895995551,118670.1677
146,54648.99827,271.430188,0.921023359,118670.1677
147,52932.96693,370.8271582,0.892102336,118670.1677
148,51942.94884,428.1715641,0.87541713,118670.1677
149,51150.93437,474.0470888,0.862068966,118670.1677
150,50556.92352,508.4537324,0.852057842,118670.1677
151,49038.89579,596.3818214,0.82647386,118670.1677
152,44748.81743,844.874247,0.754171301,118670.1677
153,37356.68239,1273.045811,0.629588432,118670.1677
154,20790.37978,2232.60887,0.350389321,118670.1677
155,10230.18687,2844.282533,0.172413793,118670.1677
156,6270.114536,3073.660157,0.10567297,118670.1677
157,5478.100068,3119.535681,0.092324805,118670.1677
158,2046.037375,3318.329622,0.034482759,118670.1677
159,2046.037375,3318.329622,0.034482759,118670.1677
160,2442.044609,3295.391859,0.041156841,118670.1677
161,3498.063899,3234.224493,0.058954394,118670.1677
162,5874.107302,3096.597919,0.098998888,118670.1677
163,12408.22666,2718.12484,0.209121246,118670.1677
164,25080.45814,1984.116444,0.42269188,118670.1677
165,34056.62211,1464.193831,0.573971079,118670.1677
166,39864.72821,1127.773316,0.67185762,118670.1677
167,46266.84516,756.9461579,0.779755284,118670.1677
168,51678.94402,443.4634057,0.870967742,118670.1677
169,53163.97115,357.4467968,0.895995551,118670.1677
170,54648.99827,271.430188,0.921023359,118670.1677
171,52932.96693,370.8271582,0.892102336,118670.1677
172,51942.94884,428.1715641,0.87541713,118670.1677
173,51150.93437,474.0470888,0.862068966,118670.1677
174,50556.92352,508.4537324,0.852057842,118670.1677
175,49038.89579,596.3818214,0.82647386,118670.1677
176,44748.81743,844.874247,0.754171301,118670.1677
177,37356.68239,1273.045811,0.629588432,118670.1677
178,20790.37978,2232.60887,0.350389321,118670.1677
179,10230.18687,2844.282533,0.172413793,118670.1677
180,6270.114536,3073.660157,0.10567297,118670.1677
181,5478.100068,3119.535681,0.092324805,118670.1677
182,2046.037375,3318.329622,0.034482759,118670.1677
183,2046.037375,3318.329622,0.034482759,118670.1677
184,2442.044609,3295.391859,0.041156841,118670.1677
185,3498.063899,3234.224493,0.058954394,118670.1677
186,5874.107302,3096.597919,0.098998888,118670.1677
187,12408.22666,2718.12484,0.209121246,118670.1677
188,25080.45814,1984.116444,0.42269188,118670.1677
189,34056.62211,1464.193831,0.573971079,118670.1677
190,39864.72821,1127.773316,0.67185762,118670.1677
191,46266.84516,756.9461579,0.779755284,118670.1677
192,51678.94402,443.4634057,0.870967742,118670.1677
193,53163.97115,357.4467968,0.895995551,118670.1677
194,54648.99827,271.430188,0.921023359,118670.1677
195,52932.96693,370.8271582,0.892102336,118670.1677
196,51942.94884,428.1715641,0.87541713,118670.1677
197,51150.93437,474.0470888,0.862068966,118670.1677
198,50556.92352,508.4537324,0.852057842,118670.1677
199,49038.89579,596.3818214,0.82647386,118670.1677
200,44748.81743,844.874247,0.754171301,118670.1677
201,37356.68239,1273.045811,0.629588432,118670.1677
202,20790.37978,2232.60887,0.350389321,118670.1677
203,10230.18687,2844.282533,0.172413793,118670.1677
204,6270.114536,3073.660157,0.10567297,118670.1677
205,5478.100068,3119.535681,0.092324805,118670.1677
206,2046.037375,3318.329622,0.034482759,118670.1677
207,2046.037375,3318.329622,0.034482759,118670.1677
208,2442.044609,3295.391859,0.041156841,118670.1677
209,3498.063899,3234.224493,0.058954394,118670.1677
210,5874.107302,3096.597919,0.098998888,118670.1677
211,12408.22666,2718.12484,0.209121246,118670.1677
212,25080.45814,1984.116444,0.42269188,118670.1677
213,34056.62211,1464.193831,0.573971079,118670.1677
214,39864.72821,1127.773316,0.67185762,118670.1677
215,46266.84516,756.9461579,0.779755284,118670.1677
216,51678.94402,443.4634057,0.870967742,118670.1677
217,53163.97115,357.4467968,0.895995551,118670.1677
218,54648.99827,271.430188,0.921023359,118670.1677
219,52932.96693,370.8271582,0.892102336,118670.1677
220,51942.94884,428.1715641,0.87541713,118670.1677
221,51150.93437,474.0470888,0.862068966,118670.1677
222,50556.92352,508.4537324,0.852057842,118670.1677
223,49038.89579,596.3818214,0.82647386,118670.1677
224,44748.81743,844.874247,0.754171301,118670.1677
