hour,power,driving,fraction,E_cap
1,27201.31156,182.8874231,0.895995551,60717.51481
2,27961.12473,138.8770807,0.921023359,60717.51481
3,27083.1184,189.7334764,0.892102336,60717.51481
4,26576.57628,219.0737047,0.87541713,60717.51481
5,26171.34259,242.5458873,0.862068966,60717.51481
6,25867.41732,260.1500243,0.852057842,60717.51481
7,25090.71941,305.1383744,0.82647386,60717.51481
8,22895.70358,432.2793637,0.754171301,60717.51481
9,19113.52246,651.3530684,0.629588432,60717.51481
10,10637.38441,1142.312889,0.350389321,60717.51481
11,5234.268518,1455.275324,0.172413793,60717.51481
12,3208.10006,1572.636237,0.10567297,60717.51481
13,2802.866368,1596.10842,0.092324805,60717.51481
14,1046.853704,1697.821211,0.034482759,60717.51481
15,1046.853704,1697.821211,0.034482759,60717.51481
16,1249.47055,1686.08512,0.041156841,60717.51481
17,1789.782138,1654.788877,0.058954394,60717.51481
18,3005.483214,1584.372329,0.098998888,60717.51481
19,6348.66117,1390.726822,0.209121246,60717.51481
20,12832.40024,1015.171899,0.42269188,60717.51481
21,17425.04874,749.1538294,0.573971079,60717.51481
22,20396.76248,577.02449,0.67185762,60717.51481
23,23672.40149,387.2910137,0.779755284,60717.51481
24,26441.49839,226.8977656,0.870967742,60717.51481
25,27201.31156,182.8874231,0.895995551,60717.51481
26,27961.12473,138.8770807,0.921023359,60717.51481
27,27083.1184,189.7334764,0.892102336,60717.51481
28,26576.57628,219.0737047,0.87541713,60717.51481
29,26171.34259,242.5458873,0.862068966,60717.51481
30,25867.41732,260.1500243,0.852057842,60717.51481
31,25090.71941,305.1383744,0.82647386,60717.51481
32,22895.70358,432.2793637,0.754171301,60717.51481
33,19113.52246,651.3530684,0.629588432,60717.51481
34,10637.38441,1142.312889,0.350389321,60717.51481
35,5234.268518,1455.275324,0.172413793,60717.51481
36,3208.10006,1572.636237,0.10567297,60717.51481
37,2802.866368,1596.10842,0.092324805,60717.51481
38,1046.853704,1697.821211,0.034482759,60717.51481
39,1046.853704,1697.821211,0.034482759,60717.51481
40,1249.47055,1686.08512,0.041156841,60717.51481
41,1789.782138,1654.788877,0.058954394,60717.51481
42,3005.483214,1584.372329,0.098998888,60717.51481
43,6348.66117,1390.726822,0.209121246,60717.51481
44,12832.40024,1015.171899,0.42269188,60717.51481
45,17425.04874,749.1538294,0.573971079,60717.51481
46,20396.76248,577.02449,0.67185762,60717.51481
47,23672.40149,387.2910137,0.779755284,60717.51481
48,26441.49839,226.8977656,0.870967742,60717.51481
49,27201.31156,182.8874231,0.895995551,60717.51481
50,27961.12473,138.8770807,0.921023359,60717.51481
51,27083.1184,189.7334764,0.892102336,60717.51481
52,26576.57628,219.0737047,0.87541713,60717.51481
53,26171.34259,242.5458873,0.862068966,60717.51481
54,25867.41732,260.1500243,0.852057842,60717.51481
55,25090.71941,305.1383744,0.82647386,60717.51481
56,22895.70358,432.2793637,0.754171301,60717.51481
57,19113.52246,651.3530684,0.629588432,60717.51481
58,10637.38441,1142.312889,0.350389321,60717.51481
59,5234.268518,1455.275324,0.172413793,60717.51481
60,3208.10006,1572.636237,0.10567297,60717.51481
61,2802.866368,1596.10842,0.092324805,60717.51481
62,1046.853704,1697.821211,0.034482759,60717.51481
63,1046.853704,1697.821211,0.034482759,60717.51481
64,1249.47055,1686.08512,0.041156841,60717.51481
65,1789.782138,1654.788877,0.058954394,60717.51481
66,3005.483214,1584.372329,0.098998888,60717.51481
67,6348.66117,1390.726822,0.209121246,60717.51481
68,12832.40024,1015.171899,0.42269188,60717.51481
69,17425.04874,749.1538294,0.573971079,60717.51481
70,20396.76248,577.02449,0.67185762,60717.51481
71,23672.40149,387.2910137,0.779755284,60717.51481
72,26441.49839,226.8977656,0.870967742,60717.51481
73,27201.31156,182.8874231,0.895995551,60717.51481
74,27961.12473,138.8770807,0.921023359,60717.51481
75,27083.1184,189.7334764,0.892102336,60717.51481
76,26576.57628,219.0737047,0.87541713,60717.51481
77,26171.34259,242.5458873,0.862068966,60717.51481
78,25867.41732,260.1500243,0.852057842,60717.51481
79,25090.71941,305.1383744,0.82647386,60717.51481
80,22895.70358,432.2793637,0.754171301,60717.51481
81,19113.52246,651.3530684,0.629588432,60717.51481
82,10637.38441,1142.312889,0.350389321,60717.51481
83,5234.268518,1455.275324,0.172413793,60717.51481
84,3208.10006,1572.636237,0.10567297,60717.51481
85,2802.866368,1596.10842,0.092324805,60717.51481
86,1046.853704,1697.821211,0.034482759,60717.51481
87,1046.853704,1697.821211,0.034482759,60717.51481
88,1249.47055,1686.08512,0.041156841,60717.51481
89,1789.782138,1654.788877,0.058954394,60717.51481
90,3005.483214,1584.372329,0.098998888,60717.51481
91,6348.66117,1390.726822,0.209121246,60717.51481
92,12832.40024,1015.171899,0.42269188,60717.51481
93,17425.04874,749.1538294,0.573971079,60717.51481
94,20396.76248,577.02449,0.67185762,60717.51481
95,23672.40149,387.2910137,0.779755284,60717.51481
96,26441.49839,226.8977656,0.870967742,60717.51481
97,27201.31156,182.8874231,0.895995551,60717.51481
98,27961.12473,138.8770807,0.921023359,60717.51481
99,27083.1184,189.7334764,0.892102336,60717.51481
100,26576.57628,219.0737047,0.87541713,60717.51481
101,26171.34259,242.5458873,0.862068966,60717.51481
102,25867.41732,260.1500243,0.852057842,60717.51481
103,25090.71941,305.1383744,0.82647386,60717.51481
104,22895.70358,432.2793637,0.754171301,60717.51481
105,19113.52246,651.3530684,0.629588432,60717.51481
106,10637.38441,1142.312889,0.350389321,60717.51481
107,5234.268518,1455.275324,0.172413793,60717.51481
108,3208.10006,1572.636237,0.10567297,60717.51481
109,2802.866368,1596.10842,0.092324805,60717.51481
110,1046.853704,1697.821211,0.034482759,60717.51481
111,1046.853704,1697.821211,0.034482759,60717.51481
112,1249.47055,1686.08512,0.041156841,60717.51481
113,1789.782138,1654.788877,0.058954394,60717.51481
114,3005.483214,1584.372329,0.098998888,60717.51481
115,6348.66117,1390.726822,0.209121246,60717.51481
116,12832.40024,1015.171899,0.42269188,60717.51481
117,17425.04874,749.1538294,0.573971079,60717.51481
118,20396.76248,577.02449,0.67185762,60717.51481
119,23672.40149,387.2910137,0.779755284,60717.51481
120,26441.49839,226.8977656,0.870967742,60717.51481
121,27201.31156,182.8874231,0.895995551,60717.51481
122,27961.12473,138.8770807,0.921023359,60717.51481
123,27083.1184,189.7334764,0.892102336,60717.51481
124,26576.57628,219.0737047,0.87541713,60717.51481
125,26171.34259,242.5458873,0.862068966,60717.51481
126,25867.41732,260.1500243,0.852057842,60717.51481
127,25090.71941,305.1383744,0.82647386,60717.51481
128,22895.70358,432.2793637,0.754171301,60717.51481
129,19113.52246,651.3530684,0.629588432,60717.51481
130,10637.38441,1142.312889,0.350389321,60717.51481
131,5234.268518,1455.275324,0.172413793,60717.51481
132,3208.10006,1572.636237,0.10567297,60717.51481
133,2802.866368,1596.10842,0.092324805,60717.51481
134,1046.853704,1697.821211,0.034482759,60717.51481
135,1046.853704,1697.821211,0.034482759,60717.51481
136,1249.47055,1686.08512,0.041156841,60717.51481
137,1789.782138,1654.788877,0.058954394,60717.51481
138,3005.483214,1584.372329,0.098998888,60717.51481
139,6348.66117,1390.726822,0.209121246,60717.51481
140,12832.40024,1015.171899,0.42269188,60717.51481
141,17425.04874,749.1538294,0.573971079,60717.51481
142,20396.76248,577.02449,0.67185762,60717.51481
143,23672.40149,387.2910137,0.779755284,60717.51481
144,26441.49839,226.8977656,0.870967742,60717.51481
145,27201.31156,182.8874231,0.895995551,60717.51481
146,27961.12473,138.8770807,0.921023359,60717.51481
147,27083.1184,189.7334764,0.892102336,60717.51481
148,26576.57628,219.0737047,0.87541713,60717.51481
149,26171.34259,242.5458873,0.862068966,60717.51481
150,25867.41732,260.1500243,0.852057842,60717.51481
151,25090.71941,305.1383744,0.82647386,60717.51481
152,22895.70358,432.2793637,0.754171301,60717.51481
153,19113.52246,651.3530684,0.629588432,60717.51481
154,10637.38441,1142.312889,0.350389321,60717.51481
155,5234.268518,1455.275324,0.172413793,60717.51481
156,3208.10006,1572.636237,0.10567297,60717.51481
157,2802.866368,1596.10842,0.092324805,60717.51481
158,1046.853704,1697.821211,0.034482759,60717.51481
159,1046.853704,1697.821211,0.034482759,60717.51481
160,1249.47055,1686.08512,0.041156841,60717.51481
161,1789.782138,1654.788877,0.058954394,60717.51481
162,3005.483214,1584.372329,0.098998888,60717.51481
163,6348.66117,1390.726822,0.209121246,60717.51481
164,12832.40024,1015.171899,0.42269188,60717.51481
165,17425.04874,749.1538294,0.573971079,60717.51481
166,20396.76248,577.02449,0.67185762,60717.51481
167,23672.40149,387.2910137,0.779755284,60717.51481
168,26441.49839,226.8977656,0.870967742,60717.51481
169,27201.31156,182.8874231,0.895995551,60717.51481
170,27961.12473,138.8770807,0.921023359,60717.51481
171,27083.1184,189.7334764,0.892102336,60717.51481
