hour,power,driving,fraction,E_cap
1,89619.79774,602.5567493,0.895995551,200045.1848
2,92123.14404,457.556462,0.921023359,200045.1848
3,89230.38831,625.1123495,0.892102336,200045.1848
4,87561.49078,721.7792077,0.87541713,200045.1848
5,86226.37275,799.1126942,0.862068966,200045.1848
6,85225.03422,857.1128091,0.852057842,200045.1848
7,82666.058,1005.335325,0.82647386,200045.1848
8,75434.16867,1424.225044,0.754171301,200045.1848
9,62973.06706,2146.004251,0.629588432,200045.1848
10,35046.84828,3763.563012,0.350389321,200045.1848
11,17245.27455,4794.676165,0.172413793,200045.1848
12,10569.6844,5181.343598,0.10567297,200045.1848
13,9234.566372,5258.677085,0.092324805,200045.1848
14,3449.05491,5593.78886,0.034482759,200045.1848
15,3449.05491,5593.78886,0.034482759,200045.1848
16,4116.613925,5555.122116,0.041156841,200045.1848
17,5896.771297,5452.010801,0.058954394,200045.1848
18,9902.125386,5220.010341,0.098998888,200045.1848
19,20916.84913,4582.009077,0.209121246,200045.1848
20,42278.7376,3344.673293,0.42269188,200045.1848
21,57410.07527,2468.227112,0.573971079,200045.1848
22,67200.94082,1901.114877,0.67185762,200045.1848
23,77993.1449,1276.002528,0.779755284,200045.1848
24,87116.45143,747.5570365,0.870967742,200045.1848
25,89619.79774,602.5567493,0.895995551,200045.1848
26,92123.14404,457.556462,0.921023359,200045.1848
27,89230.38831,625.1123495,0.892102336,200045.1848
28,87561.49078,721.7792077,0.87541713,200045.1848
29,86226.37275,799.1126942,0.862068966,200045.1848
30,85225.03422,857.1128091,0.852057842,200045.1848
31,82666.058,1005.335325,0.82647386,200045.1848
32,75434.16867,1424.225044,0.754171301,200045.1848
33,62973.06706,2146.004251,0.629588432,200045.1848
34,35046.84828,3763.563012,0.350389321,200045.1848
35,17245.27455,4794.676165,0.172413793,200045.1848
36,10569.6844,5181.343598,0.10567297,200045.1848
37,9234.566372,5258.677085,0.092324805,200045.1848
38,3449.05491,5593.78886,0.034482759,200045.1848
39,3449.05491,5593.78886,0.034482759,200045.1848
40,4116.613925,5555.122116,0.041156841,200045.1848
41,5896.771297,5452.010801,0.058954394,200045.1848
42,9902.125386,5220.010341,0.098998888,200045.1848
43,20916.84913,4582.009077,0.209121246,200045.1848
44,42278.7376,3344.673293,0.42269188,200045.1848
45,57410.07527,2468.227112,0.573971079,200045.1848
46,67200.94082,1901.114877,0.67185762,200045.1848
47,77993.1449,1276.002528,0.779755284,200045.1848
48,87116.45143,747.5570365,0.870967742,200045.1848
49,89619.79774,602.5567493,0.895995551,200045.1848
50,92123.14404,457.556462,0.921023359,200045.1848
51,89230.38831,625.1123495,0.892102336,200045.1848
52,87561.49078,721.7792077,0.87541713,200045.1848
53,86226.37275,799.1126942,0.862068966,200045.1848
54,85225.03422,857.1128091,0.852057842,200045.1848
55,82666.058,1005.335325,0.82647386,200045.1848
56,75434.16867,1424.225044,0.754171301,200045.1848
57,62973.06706,2146.004251,0.629588432,200045.1848
58,35046.84828,3763.563012,0.350389321,200045.1848
59,17245.27455,4794.676165,0.172413793,200045.1848
60,10569.6844,5181.343598,0.10567297,200045.1848
61,9234.566372,5258.677085,0.092324805,200045.1848
62,3449.05491,5593.78886,0.034482759,200045.1848
63,3449.05491,5593.78886,0.034482759,200045.1848
64,4116.613925,5555.122116,0.041156841,200045.1848
65,5896.771297,5452.010801,0.058954394,200045.1848
66,9902.125386,5220.010341,0.098998888,200045.1848
67,20916.84913,4582.009077,0.209121246,200045.1848
68,42278.7376,3344.673293,0.42269188,200045.1848
69,57410.07527,2468.227112,0.573971079,200045.1848
70,67200.94082,1901.114877,0.67185762,200045.1848
71,77993.1449,1276.002528,0.779755284,200045.1848
72,87116.45143,747.5570365,0.870967742,200045.1848
73,89619.79774,602.5567493,0.895995551,200045.1848
74,92123.14404,457.556462,0.921023359,200045.1848
75,89230.38831,625.1123495,0.892102336,200045.1848
76,87561.49078,721.7792077,0.87541713,200045.1848
77,86226.37275,799.1126942,0.862068966,200045.1848
78,85225.03422,857.1128091,0.852057842,200045.1848
79,82666.058,1005.335325,0.82647386,200045.1848
80,75434.16867,1424.225044,0.754171301,200045.1848
81,62973.06706,2146.004251,0.629588432,200045.1848
82,35046.84828,3763.563012,0.350389321,200045.1848
83,17245.27455,4794.676165,0.172413793,200045.1848
84,10569.6844,5181.343598,0.10567297,200045.1848
85,9234.566372,5258.677085,0.092324805,200045.1848
86,3449.05491,5593.78886,0.034482759,200045.1848
87,3449.05491,5593.78886,0.034482759,200045.1848
88,4116.613925,5555.122116,0.041156841,200045.1848
89,5896.771297,5452.010801,0.058954394,200045.1848
90,9902.125386,5220.010341,0.098998888,200045.1848
91,20916.84913,4582.009077,0.209121246,200045.1848
92,42278.7376,3344.673293,0.42269188,200045.1848
93,57410.07527,2468.227112,0.573971079,200045.1848
94,67200.94082,1901.114877,0.67185762,200045.1848
95,77993.1449,1276.002528,0.779755284,200045.1848
96,87116.45143,747.5570365,0.870967742,200045.1848
97,89619.79774,602.5567493,0.895995551,200045.1848
98,92123.14404,457.556462,0.921023359,200045.1848
99,89230.38831,625.1123495,0.892102336,200045.1848
100,87561.49078,721.7792077,0.87541713,200045.1848
101,86226.37275,799.1126942,0.862068966,200045.1848
102,85225.03422,857.1128091,0.852057842,200045.1848
103,82666.058,1005.335325,0.82647386,200045.1848
104,75434.16867,1424.225044,0.754171301,200045.1848
105,62973.06706,2146.004251,0.629588432,200045.1848
106,35046.84828,3763.563012,0.350389321,200045.1848
107,17245.27455,4794.676165,0.172413793,200045.1848
108,10569.6844,5181.343598,0.10567297,200045.1848
109,9234.566372,5258.677085,0.092324805,200045.1848
110,3449.05491,5593.78886,0.034482759,200045.1848
111,3449.05491,5593.78886,0.034482759,200045.1848
112,4116.613925,5555.122116,0.041156841,200045.1848
113,5896.771297,5452.010801,0.058954394,200045.1848
114,9902.125386,5220.010341,0.098998888,200045.1848
115,20916.84913,4582.009077,0.209121246,200045.1848
116,42278.7376,3344.673293,0.42269188,200045.1848
117,57410.07527,2468.227112,0.573971079,200045.1848
118,67200.94082,1901.114877,0.67185762,200045.1848
119,77993.1449,1276.002528,0.779755284,200045.1848
120,87116.45143,747.5570365,0.870967742,200045.1848
121,89619.79774,602.5567493,0.895995551,200045.1848
122,92123.14404,457.556462,0.921023359,200045.1848
123,89230.38831,625.1123495,0.892102336,200045.1848
124,87561.49078,721.7792077,0.87541713,200045.1848
125,86226.37275,799.1126942,0.862068966,200045.1848
126,85225.03422,857.1128091,0.852057842,200045.1848
127,82666.058,1005.335325,0.82647386,200045.1848
128,75434.16867,1424.225044,0.754171301,200045.1848
129,62973.06706,2146.004251,0.629588432,200045.1848
130,35046.84828,3763.563012,0.350389321,200045.1848
131,17245.27455,4794.676165,0.172413793,200045.1848
132,10569.6844,5181.343598,0.10567297,200045.1848
133,9234.566372,5258.677085,0.092324805,200045.1848
134,3449.05491,5593.78886,0.034482759,200045.1848
135,3449.05491,5593.78886,0.034482759,200045.1848
136,4116.613925,5555.122116,0.041156841,200045.1848
137,5896.771297,5452.010801,0.058954394,200045.1848
138,9902.125386,5220.010341,0.098998888,200045.1848
139,20916.84913,4582.009077,0.209121246,200045.1848
140,42278.7376,3344.673293,0.42269188,200045.1848
141,57410.07527,2468.227112,0.573971079,200045.1848
142,67200.94082,1901.114877,0.67185762,200045.1848
143,77993.1449,1276.002528,0.779755284,200045.1848
144,87116.45143,747.5570365,0.870967742,200045.1848
145,89619.79774,602.5567493,0.895995551,200045.1848
146,92123.14404,457.556462,0.921023359,200045.1848
147,89230.38831,625.1123495,0.892102336,200045.1848
148,87561.49078,721.7792077,0.87541713,200045.1848
149,86226.37275,799.1126942,0.862068966,200045.1848
150,85225.03422,857.1128091,0.852057842,200045.1848
151,82666.058,1005.335325,0.82647386,200045.1848
152,75434.16867,1424.225044,0.754171301,200045.1848
153,62973.06706,2146.004251,0.629588432,200045.1848
154,35046.84828,3763.563012,0.350389321,200045.1848
155,17245.27455,4794.676165,0.172413793,200045.1848
156,10569.6844,5181.343598,0.10567297,200045.1848
157,9234.566372,5258.677085,0.092324805,200045.1848
158,3449.05491,5593.78886,0.034482759,200045.1848
159,3449.05491,5593.78886,0.034482759,200045.1848
160,4116.613925,5555.122116,0.041156841,200045.1848
161,5896.771297,5452.010801,0.058954394,200045.1848
162,9902.125386,5220.010341,0.098998888,200045.1848
163,20916.84913,4582.009077,0.209121246,200045.1848
164,42278.7376,3344.673293,0.42269188,200045.1848
165,57410.07527,2468.227112,0.573971079,200045.1848
166,67200.94082,1901.114877,0.67185762,200045.1848
167,77993.1449,1276.002528,0.779755284,200045.1848
168,87116.45143,747.5570365,0.870967742,200045.1848
169,89619.79774,602.5567493,0.895995551,200045.1848
170,92123.14404,457.556462,0.921023359,200045.1848
171,89230.38831,625.1123495,0.892102336,200045.1848
172,87561.49078,721.7792077,0.87541713,200045.1848
173,86226.37275,799.1126942,0.862068966,200045.1848
174,85225.03422,857.1128091,0.852057842,200045.1848
175,82666.058,1005.335325,0.82647386,200045.1848
176,75434.16867,1424.225044,0.754171301,200045.1848
177,62973.06706,2146.004251,0.629588432,200045.1848
178,35046.84828,3763.563012,0.350389321,200045.1848
179,17245.27455,4794.676165,0.172413793,200045.1848
180,10569.6844,5181.343598,0.10567297,200045.1848
181,9234.566372,5258.677085,0.092324805,200045.1848
182,3449.05491,5593.78886,0.034482759,200045.1848
183,3449.05491,5593.78886,0.034482759,200045.1848
184,4116.613925,5555.122116,0.041156841,200045.1848
185,5896.771297,5452.010801,0.058954394,200045.1848
186,9902.125386,5220.010341,0.098998888,200045.1848
187,20916.84913,4582.009077,0.209121246,200045.1848
188,42278.7376,3344.673293,0.42269188,200045.1848
189,57410.07527,2468.227112,0.573971079,200045.1848
190,67200.94082,1901.114877,0.67185762,200045.1848
191,77993.1449,1276.002528,0.779755284,200045.1848
192,87116.45143,747.5570365,0.870967742,200045.1848
193,89619.79774,602.5567493,0.895995551,200045.1848
194,92123.14404,457.556462,0.921023359,200045.1848
195,89230.38831,625.1123495,0.892102336,200045.1848
196,87561.49078,721.7792077,0.87541713,200045.1848
197,86226.37275,799.1126942,0.862068966,200045.1848
198,85225.03422,857.1128091,0.852057842,200045.1848
199,82666.058,1005.335325,0.82647386,200045.1848
200,75434.16867,1424.225044,0.754171301,200045.1848
201,62973.06706,2146.004251,0.629588432,200045.1848
202,35046.84828,3763.563012,0.350389321,200045.1848
203,17245.27455,4794.676165,0.172413793,200045.1848
204,10569.6844,5181.343598,0.10567297,200045.1848
205,9234.566372,5258.677085,0.092324805,200045.1848
206,3449.05491,5593.78886,0.034482759,200045.1848
207,3449.05491,5593.78886,0.034482759,200045.1848
208,4116.613925,5555.122116,0.041156841,200045.1848
209,5896.771297,5452.010801,0.058954394,200045.1848
210,9902.125386,5220.010341,0.098998888,200045.1848
